"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia ABANCAY",,,,,,,,,
"Hogares (001)",25940,1102,429,242,168,114,84,74,23727
"Ocupantes presentes (002)",95842,3613,1422,780,590,486,386,315,88250
"Casa independiente",,,,,,,,,
"Hogares (004)",22637,940,366,198,139,102,75,64,20753
"Ocupantes presentes (005)",85963,3193,1259,653,503,454,360,291,79250
"Departamento en edificio",,,,,,,,,
"Hogares (007)",290,14,4,6,3,3,5,5,250
"Ocupantes presentes (008)",929,34,9,15,9,6,15,16,825
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",143,14,3,2,3,1,1,1,118
"Ocupantes presentes (011)",417,40,8,6,8,1,1,1,352
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",2498,121,54,35,22,8,3,3,2252
"Ocupantes presentes (014)",7522,327,143,103,66,25,10,5,6843
"Choza o cabaña",,,,,,,,,
"Hogares (016)",317,10,2,1,,,,1,303
"Ocupantes presentes (017)",869,14,3,3,,,,2,847
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",8,,,,1,,,,7
"Ocupantes presentes (020)",31,,,,4,,,,27
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",34,3,,,,,,,31
"Ocupantes presentes (023)",93,5,,,,,,,88
"Otro tipo",,,,,,,,,
"Hogares (025)",13,,,,,,,,13
"Ocupantes presentes (026)",18,,,,,,,,18
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",16408,921,365,208,152,90,60,65,14547
"Ocupantes presentes (029)",60601,3082,1193,676,545,381,283,284,54157
"Casa independiente",,,,,,,,,
"Hogares (031)",13427,770,304,165,123,78,51,56,11880
"Ocupantes presentes (032)",51599,2678,1033,552,458,349,257,262,46010
"Departamento en edificio",,,,,,,,,
"Hogares (034)",290,14,4,6,3,3,5,5,250
"Ocupantes presentes (035)",929,34,9,15,9,6,15,16,825
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",143,14,3,2,3,1,1,1,118
"Ocupantes presentes (038)",417,40,8,6,8,1,1,1,352
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",2498,121,54,35,22,8,3,3,2252
"Ocupantes presentes (041)",7522,327,143,103,66,25,10,5,6843
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",8,,,,1,,,,7
"Ocupantes presentes (047)",31,,,,4,,,,27
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",30,2,,,,,,,28
"Ocupantes presentes (050)",86,3,,,,,,,83
"Otro tipo",,,,,,,,,
"Hogares (052)",12,,,,,,,,12
"Ocupantes presentes (053)",17,,,,,,,,17
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",9532,181,64,34,16,24,24,9,9180
"Ocupantes presentes (056)",35241,531,229,104,45,105,103,31,34093
"Casa independiente",,,,,,,,,
"Hogares (058)",9210,170,62,33,16,24,24,8,8873
"Ocupantes presentes (059)",34364,515,226,101,45,105,103,29,33240
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",317,10,2,1,,,,1,303
"Ocupantes presentes (071)",869,14,3,3,,,,2,847
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",4,1,,,,,,,3
"Ocupantes presentes (077)",7,2,,,,,,,5
"Otro tipo",,,,,,,,,
"Hogares (079)",1,,,,,,,,1
"Ocupantes presentes (080)",1,,,,,,,,1
