"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia HUAMANGA (000)",52332,37035,15297
"Red pública dentro de la vivienda (001)",29145,26204,2941
"Red pública fuera de la vivienda (002)",7102,5364,1738
"Pilón de uso público (003)",2842,706,2136
"Camión - cisterna u otro similar (004)",188,38,150
"Pozo (005)",1413,641,772
"Río, acequia, manatial o similar (006)",8079,2676,5403
"Vecino (007)",2163,822,1341
"Otro (008)",1400,584,816
,,,
"URBANA (010)",36980,31347,5633
"Red pública dentro de la vivienda (011)",27452,25317,2135
"Red pública fuera de la vivienda (012)",4942,4321,621
"Pilón de uso público (013)",1632,297,1335
"Camión - cisterna u otro similar (014)",62,10,52
"Pozo (015)",266,152,114
"Río, acequia, manatial o similar (016)",790,446,344
"Vecino (017)",1375,580,795
"Otro (018)",461,224,237
,,,
"RURAL (020)",15352,5688,9664
"Red pública dentro de la vivienda (021)",1693,887,806
"Red pública fuera de la vivienda (022)",2160,1043,1117
"Pilón de uso público (023)",1210,409,801
"Camión - cisterna u otro similar (024)",126,28,98
"Pozo (025)",1147,489,658
"Río, acequia, manatial o similar (026)",7289,2230,5059
"Vecino (027)",788,242,546
"Otro (028)",939,360,579
