"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia MARAÑON (000)",13597,12814,783
"Hombres (001)",6915,6579,336
"Mujeres (002)",6682,6235,447
"De 18 a 29 años (003)",4576,4325,251
"Hombres (004)",2325,2175,150
"Mujeres (005)",2251,2150,101
"De 30 a 44 años (006)",4404,4307,97
"Hombres (007)",2242,2191,51
"Mujeres (008)",2162,2116,46
"De 45 a 64 años (009)",3334,3165,169
"Hombres (010)",1724,1664,60
"Mujeres (011)",1610,1501,109
"De 65 y más años (012)",1283,1017,266
"Hombres (013)",624,549,75
"Mujeres (014)",659,468,191
,,,
"URBANA (015)",2225,2161,64
"Hombres (016)",1134,1111,23
"Mujeres (017)",1091,1050,41
"De 18 a 29 años (018)",721,696,25
"Hombres (019)",351,338,13
"Mujeres (020)",370,358,12
"De 30 a 44 años (021)",801,797,4
"Hombres (022)",417,414,3
"Mujeres (023)",384,383,1
"De 45 a 64 años (024)",497,486,11
"Hombres (025)",269,266,3
"Mujeres (026)",228,220,8
"De 65 y más años (027)",206,182,24
"Hombres (028)",97,93,4
"Mujeres (029)",109,89,20
,,,
"RURAL (030)",11372,10653,719
"Hombres (031)",5781,5468,313
"Mujeres (032)",5591,5185,406
"De 18 a 29 años (033)",3855,3629,226
"Hombres (034)",1974,1837,137
"Mujeres (035)",1881,1792,89
"De 30 a 44 años (036)",3603,3510,93
"Hombres (037)",1825,1777,48
"Mujeres (038)",1778,1733,45
"De 45 a 64 años (039)",2837,2679,158
"Hombres (040)",1455,1398,57
"Mujeres (041)",1382,1281,101
"De 65 y más años (042)",1077,835,242
"Hombres (043)",527,456,71
"Mujeres (044)",550,379,171
