"CUADRO Nº 19: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HABITACIONES DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HABITACIONES DE LA VIVIENDA",,,,,,,
,,1,2,3,4,5,6,7,"8 Y MÁS"
,,,,,,,,,
"Provincia CAJATAMBO",,,,,,,,,
"Viviendas particulares (001)",2464,695,874,397,271,90,60,30,47
"Ocupantes presentes (002)",8145,2073,2857,1405,963,344,231,89,183
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",2251,586,809,371,260,88,60,30,47
"Ocupantes presentes (005)",7441,1752,2612,1306,930,338,231,89,183
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",1,,,1,,,,,
"Ocupantes presentes (008)",5,,,5,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",11,7,3,1,,,,,
"Ocupantes presentes (011)",32,20,9,3,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",48,17,13,10,6,2,,,
"Ocupantes presentes (014)",201,59,65,48,23,6,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",142,78,48,12,4,,,,
"Ocupantes presentes (017)",441,227,167,39,8,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",1,1,,,,,,,
"Ocupantes presentes (020)",1,1,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",10,6,1,2,1,,,,
"Ocupantes presentes (023)",24,14,4,4,2,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",1475,350,511,235,189,73,46,26,45
"Ocupantes presentes (029)",4977,1130,1642,811,678,290,177,77,172
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",1407,321,494,222,182,71,46,26,45
"Ocupantes presentes (032)",4718,1039,1564,752,653,284,177,77,172
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",1,,,1,,,,,
"Ocupantes presentes (035)",5,,,5,,,,,
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",11,7,3,1,,,,,
"Ocupantes presentes (038)",32,20,9,3,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",48,17,13,10,6,2,,,
"Ocupantes presentes (041)",201,59,65,48,23,6,,,
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",1,1,,,,,,,
"Ocupantes presentes (047)",1,1,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",7,4,1,1,1,,,,
"Ocupantes presentes (050)",20,11,4,3,2,,,,
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",989,345,363,162,82,17,14,4,2
"Ocupantes presentes (056)",3168,943,1215,594,285,54,54,12,11
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",844,265,315,149,78,17,14,4,2
"Ocupantes presentes (059)",2723,713,1048,554,277,54,54,12,11
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",142,78,48,12,4,,,,
"Ocupantes presentes (071)",441,227,167,39,8,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",3,2,,1,,,,,
"Ocupantes presentes (077)",4,3,,1,,,,,
"Otro tipo",,,,,,,,,
