"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CORONGO (000)",72,,39,19,10,4
"Sin nivel (001)",3,,,2,,1
"Primaria (003)",25,,12,8,3,2
"Secundaria (004)",36,,23,9,4,
"Superior no univ. incompleta (005)",2,,2,,,
"Superior no univ. completa (006)",5,,1,,3,1
"Superior univ. incompleta (007)",1,,1,,,
"Hombres (010)",61,,33,16,9,3
"Sin nivel (011)",2,,,1,,1
"Primaria (013)",18,,8,7,2,1
"Secundaria (014)",34,,22,8,4,
"Superior no univ. incompleta (015)",2,,2,,,
"Superior no univ. completa (016)",5,,1,,3,1
"Mujeres (020)",11,,6,3,1,1
"Sin nivel (021)",1,,,1,,
"Primaria (023)",7,,4,1,1,1
"Secundaria (024)",2,,1,1,,
"Superior univ. incompleta (027)",1,,1,,,
,,,,,,
"Area Urbana (030)",40,,18,11,8,3
"Sin nivel (031)",2,,,1,,1
"Primaria (033)",15,,6,6,2,1
"Secundaria (034)",18,,10,4,4,
"Superior no univ. completa (036)",4,,1,,2,1
"Superior univ. incompleta (037)",1,,1,,,
"Hombres (040)",33,,13,10,8,2
"Sin nivel (041)",1,,,,,1
"Primaria (043)",10,,2,6,2,
"Secundaria (044)",18,,10,4,4,
"Superior no univ. completa (046)",4,,1,,2,1
"Mujeres (050)",7,,5,1,,1
"Sin nivel (051)",1,,,1,,
"Primaria (053)",5,,4,,,1
"Superior univ. incompleta (057)",1,,1,,,
,,,,,,
"Area Rural (060)",32,,21,8,2,1
"Sin nivel (061)",1,,,1,,
"Primaria (063)",10,,6,2,1,1
"Secundaria (064)",18,,13,5,,
"Superior no univ. incompleta (065)",2,,2,,,
"Superior no univ. completa (066)",1,,,,1,
"Hombres (070)",28,,20,6,1,1
"Sin nivel (071)",1,,,1,,
"Primaria (073)",8,,6,1,,1
"Secundaria (074)",16,,12,4,,
"Superior no univ. incompleta (075)",2,,2,,,
"Superior no univ. completa (076)",1,,,,1,
"Mujeres (080)",4,,1,2,1,
"Primaria (083)",2,,,1,1,
"Secundaria (084)",2,,1,1,,
