"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ILO (000)",17005,16116,889
"Red pública de desague dentro de la vivienda (001)",12966,12799,167
"Red pública de desague fuera de la vivienda (002)",932,893,39
"Pozo séptico (003)",897,717,180
"Pozo ciego o negro / letrina (004)",1869,1488,381
"Río, acequia o canal (005)",9,6,3
"No tiene (006)",332,213,119
,,,
"URBANA (008)",16906,16067,839
"Red pública de desague dentro de la vivienda (009)",12966,12799,167
"Red pública de desague fuera de la vivienda (010)",932,893,39
"Pozo séptico (011)",868,690,178
"Pozo ciego o negro / letrina (012)",1846,1478,368
"Río, acequia o canal (013)",5,4,1
"No tiene (014)",289,203,86
,,,
"RURAL (016)",99,49,50
"Pozo séptico (019)",29,27,2
"Pozo ciego o negro / letrina (020)",23,10,13
"Río, acequia o canal (021)",4,2,2
"No tiene (022)",43,10,33
