"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CANGALLO (000)",32567,7604,935,15092,7209,448,679,174,426
"Quechua (001)",29356,7193,790,14068,6287,305,419,95,199
"Aymara (002)",24,5,,13,5,,,1,
"Ashaninca (003)",4,1,1,2,,,,,
"Otra lengua nativa (004)",11,1,,4,3,,1,1,1
"Castellano (005)",3132,380,143,995,913,142,259,77,223
"Idioma extranjero (006)",3,,,,,,,,3
"Es sordomudo/a (007)",37,24,1,10,1,1,,,
"Hombres (009)",15527,2122,459,7372,4501,292,366,127,288
"Quechua (010)",13772,1914,384,6843,3957,202,245,72,155
"Aymara (011)",8,,,3,4,,,1,
"Ashaninca (012)",2,1,,1,,,,,
"Otra lengua nativa (013)",6,1,,2,2,,,,1
"Castellano (014)",1719,192,75,518,538,90,121,54,131
"Idioma extranjero (015)",1,,,,,,,,1
"Es sordomudo/a (016)",19,14,,5,,,,,
"Mujeres (018)",17040,5482,476,7720,2708,156,313,47,138
"Quechua (019)",15584,5279,406,7225,2330,103,174,23,44
"Aymara (020)",16,5,,10,1,,,,
"Ashaninca (021)",2,,1,1,,,,,
"Otra lengua nativa (022)",5,,,2,1,,1,1,
"Castellano (023)",1413,188,68,477,375,52,138,23,92
"Idioma extranjero (024)",2,,,,,,,,2
"Es sordomudo/a (025)",18,10,1,5,1,1,,,
,,,,,,,,,
"URBANA (027)",11376,2137,327,4713,2944,289,490,133,343
"Quechua (028)",9339,1909,237,4147,2395,173,268,61,149
"Aymara (029)",3,1,,,1,,,1,
"Otra lengua nativa (031)",8,1,,3,2,,1,,1
"Castellano (032)",2013,221,89,560,545,116,221,71,190
"Idioma extranjero (033)",3,,,,,,,,3
"Es sordomudo/a (034)",10,5,1,3,1,,,,
"Hombres (036)",5471,571,164,2276,1719,179,245,95,222
"Quechua (037)",4414,457,119,1997,1417,109,151,46,118
"Aymara (038)",1,,,,,,,1,
"Otra lengua nativa (040)",4,1,,1,1,,,,1
"Castellano (041)",1049,112,45,277,301,70,94,48,102
"Idioma extranjero (042)",1,,,,,,,,1
"Es sordomudo/a (043)",2,1,,1,,,,,
"Mujeres (045)",5905,1566,163,2437,1225,110,245,38,121
"Quechua (046)",4925,1452,118,2150,978,64,117,15,31
"Aymara (047)",2,1,,,1,,,,
"Otra lengua nativa (049)",4,,,2,1,,1,,
"Castellano (050)",964,109,44,283,244,46,127,23,88
"Idioma extranjero (051)",2,,,,,,,,2
"Es sordomudo/a (052)",8,4,1,2,1,,,,
,,,,,,,,,
"RURAL (054)",21191,5467,608,10379,4265,159,189,41,83
"Quechua (055)",20017,5284,553,9921,3892,132,151,34,50
"Aymara (056)",21,4,,13,4,,,,
"Ashaninca (057)",4,1,1,2,,,,,
"Otra lengua nativa (058)",3,,,1,1,,,1,
"Castellano (059)",1119,159,54,435,368,26,38,6,33
"Es sordomudo/a (061)",27,19,,7,,1,,,
"Hombres (063)",10056,1551,295,5096,2782,113,121,32,66
"Quechua (064)",9358,1457,265,4846,2540,93,94,26,37
"Aymara (065)",7,,,3,4,,,,
"Ashaninca (066)",2,1,,1,,,,,
"Otra lengua nativa (067)",2,,,1,1,,,,
"Castellano (068)",670,80,30,241,237,20,27,6,29
"Es sordomudo/a (070)",17,13,,4,,,,,
"Mujeres (072)",11135,3916,313,5283,1483,46,68,9,17
"Quechua (073)",10659,3827,288,5075,1352,39,57,8,13
"Aymara (074)",14,4,,10,,,,,
"Ashaninca (075)",2,,1,1,,,,,
"Otra lengua nativa (076)",1,,,,,,,1,
"Castellano (077)",449,79,24,194,131,6,11,,4
"Es sordomudo/a (079)",10,6,,3,,1,,,
