"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia SUCRE (000)",3783,728,700,1568,18,680,20,69
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",40,40,,,,,,
"Profes., científicos e intelectuales (002)",516,446,,66,4,,,
"Técnicos de nivel medio y trab. asimilados (003)",60,46,,12,1,1,,
"Jefes y empleados de oficina (004)",95,95,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",229,12,3,179,3,32,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1142,,,1136,6,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",105,,32,65,2,6,,
"Obreros construc.,conf.,papel, fab., instr. (008)",86,10,39,32,1,4,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1249,35,550,38,,606,20,
"Otra (010)",6,6,,,,,,
"Ocupaciñn no especificada (011)",186,38,76,40,1,31,,
"Desocupado (012)",69,,,,,,,69
"Hombres (013)",2636,477,592,1146,12,354,,55
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",31,31,,,,,,
"Profes., científicos e intelectuales (015)",304,275,,27,2,,,
"Técnicos de nivel medio y trab. asimilados (016)",43,31,,10,1,1,,
"Jefes y empleados de oficina (017)",70,70,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",60,1,1,54,,4,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",935,,,929,6,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",92,,28,59,2,3,,
"Obreros construc.,conf.,papel, fab., instr. (021)",85,10,39,31,1,4,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",826,21,469,16,,320,,
"Otra (023)",6,6,,,,,,
"Ocupaciñn no especificada (024)",129,32,55,20,,22,,
"Desocupado (025)",55,,,,,,,55
"Mujeres (026)",1147,251,108,422,6,326,20,14
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",9,9,,,,,,
"Profes., científicos e intelectuales (028)",212,171,,39,2,,,
"Técnicos de nivel medio y trab. asimilados (029)",17,15,,2,,,,
"Jefes y empleados de oficina (030)",25,25,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",169,11,2,125,3,28,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",207,,,207,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",13,,4,6,,3,,
"Obreros construc.,conf.,papel, fab., instr. (034)",1,,,1,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",423,14,81,22,,286,20,
"Ocupaciñn no especificada (037)",57,6,21,20,1,9,,
"Desocupado (038)",14,,,,,,,14
,,,,,,,,
"URBANA (039)",2460,638,396,901,10,466,17,32
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",34,34,,,,,,
"Profes., científicos e intelectuales (041)",437,391,,46,,,,
"Técnicos de nivel medio y trab. asimilados (042)",45,39,,5,1,,,
"Jefes y empleados de oficina (043)",86,86,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",197,9,3,155,3,27,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",579,,,575,4,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",65,,18,42,,5,,
"Obreros construc.,conf.,papel, fab., instr. (047)",63,8,26,27,1,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",805,30,317,20,,421,17,
"Otra (049)",6,6,,,,,,
"Ocupaciñn no especificada (050)",111,35,32,31,1,12,,
"Desocupado (051)",32,,,,,,,32
"Hombres (052)",1596,418,332,597,6,221,,22
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",26,26,,,,,,
"Profes., científicos e intelectuales (054)",255,239,,16,,,,
"Técnicos de nivel medio y trab. asimilados (055)",29,25,,3,1,,,
"Jefes y empleados de oficina (056)",64,64,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",47,1,1,41,,4,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",459,,,455,4,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",52,,14,36,,2,,
"Obreros construc.,conf.,papel, fab., instr. (060)",62,8,26,26,1,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",498,19,266,5,,208,,
"Otra (062)",6,6,,,,,,
"Ocupaciñn no especificada (063)",76,30,25,15,,6,,
"Desocupado (064)",22,,,,,,,22
"Mujeres (065)",864,220,64,304,4,245,17,10
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",8,8,,,,,,
"Profes., científicos e intelectuales (067)",182,152,,30,,,,
"Técnicos de nivel medio y trab. asimilados (068)",16,14,,2,,,,
"Jefes y empleados de oficina (069)",22,22,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",150,8,2,114,3,23,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",120,,,120,,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",13,,4,6,,3,,
"Obreros construc.,conf.,papel, fab., instr. (073)",1,,,1,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",307,11,51,15,,213,17,
"Ocupaciñn no especificada (076)",35,5,7,16,1,6,,
"Desocupado (077)",10,,,,,,,10
,,,,,,,,
"RURAL (078)",1323,90,304,667,8,214,3,37
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",6,6,,,,,,
"Profes., científicos e intelectuales (080)",79,55,,20,4,,,
"Técnicos de nivel medio y trab. asimilados (081)",15,7,,7,,1,,
"Jefes y empleados de oficina (082)",9,9,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",32,3,,24,,5,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",563,,,561,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",40,,14,23,2,1,,
"Obreros construc.,conf.,papel, fab., instr. (086)",23,2,13,5,,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",444,5,233,18,,185,3,
"Ocupaciñn no especificada (089)",75,3,44,9,,19,,
"Desocupado (090)",37,,,,,,,37
"Hombres (091)",1040,59,260,549,6,133,,33
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",5,5,,,,,,
"Profes., científicos e intelectuales (093)",49,36,,11,2,,,
"Técnicos de nivel medio y trab. asimilados (094)",14,6,,7,,1,,
"Jefes y empleados de oficina (095)",6,6,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",13,,,13,,,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",476,,,474,2,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",40,,14,23,2,1,,
"Obreros construc.,conf.,papel, fab., instr. (099)",23,2,13,5,,3,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (100)",328,2,203,11,,112,,
