"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia UCAYALI (000)",21074,737,7589,7030,4634,1084
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",29,,3,11,15,
"Profes., científicos e intelectuales (002)",1545,,415,808,313,9
"Técnicos de nivel medio y trab.asimilados (003)",349,,126,134,73,16
"Jefes y empleados de oficina (004)",356,,139,143,72,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1553,49,506,589,344,65
"Agricult.trabaj. calif. agrop. y pesqueros (006)",7265,1,1971,2475,2138,680
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",886,14,342,316,188,26
"Obreros construc., conf., papel, fab., instr. (008)",797,1,391,266,123,16
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",6887,627,3063,1857,1133,207
"Otra (010)",70,,31,35,4,
"Ocupación no especificada (011)",616,9,275,179,125,28
"Desocupado (012)",721,36,327,217,106,35
"Hombres (013)",14923,495,5295,4933,3350,850
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",25,,2,9,14,
"Profes., científicos e intelectuales (015)",835,,190,451,188,6
"Técnicos de nivel medio y trab.asimilados (016)",252,,83,95,61,13
"Jefes y empleados de oficina (017)",222,,65,96,59,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",770,18,245,289,180,38
"Agricult.trabaj. calif. agrop. y pesqueros (019)",6490,1,1669,2256,1947,617
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",680,13,250,248,148,21
"Obreros construc., conf., papel, fab., instr. (021)",632,,316,213,96,7
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",4039,435,2043,962,495,104
"Otra (023)",69,,30,35,4,
"Ocupación no especificada (024)",339,4,151,102,71,11
"Desocupado (025)",570,24,251,177,87,31
"Mujeres (026)",6151,242,2294,2097,1284,234
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",4,,1,2,1,
"Profes., científicos e intelectuales (028)",710,,225,357,125,3
"Técnicos de nivel medio y trab.asimilados (029)",97,,43,39,12,3
"Jefes y empleados de oficina (030)",134,,74,47,13,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",783,31,261,300,164,27
"Agricult.trabaj. calif. agrop. y pesqueros (032)",775,,302,219,191,63
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",206,1,92,68,40,5
"Obreros construc., conf., papel, fab., instr. (034)",165,1,75,53,27,9
