"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CARAVELI (000)",8597,8179,40,1957,1887,1361,1513,781,437,203,418,27330
"De 12 a 14 años (001)",10,7,2,5,,,,,,,3,5
"De 15 a 19 años (002)",236,210,4,184,20,2,,,,,26,230
"De 20 a 24 años (003)",1071,933,6,640,231,51,5,,,,138,1277
"De 25 a 29 años (004)",1217,1132,1,469,454,150,55,3,,,85,2073
"De 30 a 34 años (005)",1195,1131,2,261,401,287,164,15,1,,64,2730
"De 35 a 39 años (006)",1102,1066,3,134,304,285,258,74,8,,36,3237
"De 40 a 44 años (007)",868,849,3,73,169,195,281,95,22,11,19,3150
"De 45 a 49 años (008)",687,678,2,48,104,131,218,107,58,10,9,2894
"De 50 y más años (009)",2211,2173,17,143,204,260,532,487,348,182,38,11734
"PEA (010)",3366,3165,15,816,785,561,577,247,120,44,201,9647
"De 12 a 14 años (011)",2,2,,2,,,,,,,,2
"De 15 a 19 años (012)",74,70,1,64,4,1,,,,,4,75
"De 20 a 24 años (013)",363,286,4,204,59,19,,,,,77,379
"De 25 a 29 años (014)",461,414,,195,156,53,9,1,,,47,709
"De 30 a 34 años (015)",509,473,2,137,176,106,49,2,1,,36,1036
"De 35 a 39 años (016)",521,508,2,85,151,136,108,24,2,,13,1418
"De 40 a 44 años (017)",438,425,1,42,92,100,135,45,8,2,13,1498
"De 45 a 49 años (018)",344,341,1,29,67,61,109,47,23,4,3,1361
"De 50 y más años (019)",654,646,4,58,80,85,167,128,86,38,8,3169
"Ocupada (020)",3290,3093,15,789,767,554,564,242,119,43,197,9455
"De 12 a 14 años (021)",2,2,,2,,,,,,,,2
"De 15 a 19 años (022)",68,64,1,59,3,1,,,,,4,68
