"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia BOLIVAR (000)",3727,1686,2041
"Red pública de desague dentro de la vivienda (001)",257,247,10
"Red pública de desague fuera de la vivienda (002)",222,214,8
"Pozo séptico (003)",95,68,27
"Pozo ciego o negro / letrina (004)",2182,907,1275
"Río, acequia o canal (005)",25,13,12
"No tiene (006)",946,237,709
,,,
"URBANA (008)",1347,1132,215
"Red pública de desague dentro de la vivienda (009)",252,243,9
"Red pública de desague fuera de la vivienda (010)",222,214,8
"Pozo séptico (011)",65,53,12
"Pozo ciego o negro / letrina (012)",637,496,141
"Río, acequia o canal (013)",13,10,3
"No tiene (014)",158,116,42
,,,
"RURAL (016)",2380,554,1826
"Red pública de desague dentro de la vivienda (017)",5,4,1
"Pozo séptico (019)",30,15,15
"Pozo ciego o negro / letrina (020)",1545,411,1134
"Río, acequia o canal (021)",12,3,9
"No tiene (022)",788,121,667
