"CUADRO Nº 30: POBLACIÓN OCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CORONEL PORTILLO (000)",120248,30892,20649,54880,2657,7321,3849
"Conviviente (001)",52466,10297,9775,27136,1119,2754,1385
"Separado(a) (002)",5328,1281,733,2783,111,95,325
"Casado(a) (003)",24864,8266,2819,11379,768,1204,428
"Viudo(a) (004)",2406,347,288,1513,53,79,126
"Divorciado(a) (005)",582,226,54,256,23,14,9
"Soltero(a) (006)",34602,10475,6980,11813,583,3175,1576
"Hombres (008)",79527,17565,18094,38271,2038,3311,248
"Conviviente (009)",35807,6285,8427,19519,910,603,63
"Separado(a) (010)",2398,437,530,1316,64,41,10
"Casado(a) (011)",15794,4975,2377,7611,586,221,24
"Viudo(a) (012)",1020,92,197,664,25,36,6
"Divorciado(a) (013)",315,93,48,151,13,9,1
"Soltero(a) (014)",24193,5683,6515,9010,440,2401,144
"Mujeres (016)",40721,13327,2555,16609,619,4010,3601
"Conviviente (017)",16659,4012,1348,7617,209,2151,1322
"Separado(a) (018)",2930,844,203,1467,47,54,315
"Casado(a) (019)",9070,3291,442,3768,182,983,404
"Viudo(a) (020)",1386,255,91,849,28,43,120
"Divorciado(a) (021)",267,133,6,105,10,5,8
"Soltero(a) (022)",10409,4792,465,2803,143,774,1432
,,,,,,,
"URBANA (024)",102444,30204,17549,44636,2244,4193,3618
"Conviviente (025)",42790,10018,8155,20934,888,1539,1256
"Separado(a) (026)",4699,1258,610,2353,84,78,316
"Casado(a) (027)",22167,8079,2493,9627,699,867,402
"Viudo(a) (028)",1931,344,226,1148,40,53,120
"Divorciado(a) (029)",533,224,45,226,20,13,5
"Soltero(a) (030)",30324,10281,6020,10348,513,1643,1519
"Hombres (032)",66129,17102,15528,29874,1683,1720,222
"Conviviente (033)",28752,6090,7135,14382,705,386,54
"Separado(a) (034)",1954,421,432,1016,46,30,9
"Casado(a) (035)",13886,4848,2132,6181,525,176,24
"Viudo(a) (036)",692,90,151,409,16,21,5
"Divorciado(a) (037)",281,93,39,129,11,8,1
"Soltero(a) (038)",20564,5560,5639,7757,380,1099,129
"Mujeres (040)",36315,13102,2021,14762,561,2473,3396
"Conviviente (041)",14038,3928,1020,6552,183,1153,1202
"Separado(a) (042)",2745,837,178,1337,38,48,307
"Casado(a) (043)",8281,3231,361,3446,174,691,378
"Viudo(a) (044)",1239,254,75,739,24,32,115
"Divorciado(a) (045)",252,131,6,97,9,5,4
"Soltero(a) (046)",9760,4721,381,2591,133,544,1390
,,,,,,,
"RURAL (048)",17804,688,3100,10244,413,3128,231
"Conviviente (049)",9676,279,1620,6202,231,1215,129
"Separado(a) (050)",629,23,123,430,27,17,9
"Casado(a) (051)",2697,187,326,1752,69,337,26
"Viudo(a) (052)",475,3,62,365,13,26,6
"Divorciado(a) (053)",49,2,9,30,3,1,4
"Soltero(a) (054)",4278,194,960,1465,70,1532,57
"Hombres (056)",13398,463,2566,8397,355,1591,26
"Conviviente (057)",7055,195,1292,5137,205,217,9
"Separado(a) (058)",444,16,98,300,18,11,1
"Casado(a) (059)",1908,127,245,1430,61,45,
"Viudo(a) (060)",328,2,46,255,9,15,1
"Divorciado(a) (061)",34,,9,22,2,1,
"Soltero(a) (062)",3629,123,876,1253,60,1302,15
"Mujeres (064)",4406,225,534,1847,58,1537,205
"Conviviente (065)",2621,84,328,1065,26,998,120
"Separado(a) (066)",185,7,25,130,9,6,8
"Casado(a) (067)",789,60,81,322,8,292,26
"Viudo(a) (068)",147,1,16,110,4,11,5
"Divorciado(a) (069)",15,2,,8,1,,4
"Soltero(a) (070)",649,71,84,212,10,230,42
