"CUADRO Nº 6: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR PERSONAS QUE PERTENECÍAN AL HOGAR Y AHORA VIVEN PERMANENTEMENTE EN OTRO PAÍS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE PERSONAS QUE VIVEN PERMANENTEMENTE EN OTRO PAÍS",,,,,,,NINGUNA
,,1,2,3,4,5,6,"7 Y MÁS",
,,,,,,,,,
"Provincia ANGARAES",,,,,,,,,
"Hogares (001)",13633,302,187,143,132,87,72,97,12613
"Ocupantes presentes (002)",55528,854,512,484,539,358,358,676,51747
"Casa independiente",,,,,,,,,
"Hogares (004)",12385,281,168,133,112,77,59,87,11468
"Ocupantes presentes (005)",51169,814,474,454,457,310,288,597,47775
"Departamento en edificio",,,,,,,,,
"Hogares (007)",9,2,,,1,,,,6
"Ocupantes presentes (008)",31,2,,,3,,,,26
"Vivienda en quinta",,,,,,,,,
"Hogares (010)",130,5,3,1,4,2,2,1,112
"Ocupantes presentes (011)",420,14,6,2,17,10,7,7,357
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (013)",49,1,1,,1,,,1,45
"Ocupantes presentes (014)",136,1,2,,4,,,8,121
"Choza o cabaña",,,,,,,,,
"Hogares (016)",1040,13,15,9,14,8,11,8,962
"Ocupantes presentes (017)",3716,23,30,28,58,38,63,64,3412
"Vivienda improvisada",,,,,,,,,
"Hogares (019)",1,,,,,,,,1
"Ocupantes presentes (020)",2,,,,,,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (022)",17,,,,,,,,17
"Ocupantes presentes (023)",50,,,,,,,,50
"Otro tipo",,,,,,,,,
"Hogares (025)",2,,,,,,,,2
"Ocupantes presentes (026)",4,,,,,,,,4
,,,,,,,,,
URBANA,,,,,,,,,
"Hogares (028)",4328,159,98,78,77,42,34,42,3798
"Ocupantes presentes (029)",15911,410,253,249,313,170,163,286,14067
"Casa independiente",,,,,,,,,
"Hogares (031)",4125,151,94,77,71,40,32,40,3620
"Ocupantes presentes (032)",15277,393,245,247,289,160,156,271,13516
"Departamento en edificio",,,,,,,,,
"Hogares (034)",9,2,,,1,,,,6
"Ocupantes presentes (035)",31,2,,,3,,,,26
"Vivienda en quinta",,,,,,,,,
"Hogares (037)",130,5,3,1,4,2,2,1,112
"Ocupantes presentes (038)",420,14,6,2,17,10,7,7,357
"Vivienda en casa de vecindad",,,,,,,,,
"Hogares (040)",49,1,1,,1,,,1,45
"Ocupantes presentes (041)",136,1,2,,4,,,8,121
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Hogares (046)",1,,,,,,,,1
"Ocupantes presentes (047)",2,,,,,,,,2
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (049)",14,,,,,,,,14
"Ocupantes presentes (050)",45,,,,,,,,45
"Otro tipo",,,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Hogares (055)",9305,143,89,65,55,45,38,55,8815
"Ocupantes presentes (056)",39617,444,259,235,226,188,195,390,37680
"Casa independiente",,,,,,,,,
"Hogares (058)",8260,130,74,56,41,37,27,47,7848
"Ocupantes presentes (059)",35892,421,229,207,168,150,132,326,34259
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Hogares (070)",1040,13,15,9,14,8,11,8,962
"Ocupantes presentes (071)",3716,23,30,28,58,38,63,64,3412
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Hogares (076)",3,,,,,,,,3
"Ocupantes presentes (077)",5,,,,,,,,5
"Otro tipo",,,,,,,,,
"Hogares (079)",2,,,,,,,,2
"Ocupantes presentes (080)",4,,,,,,,,4
