"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia ICA (000)",74305,59902,14403
"Red pública dentro de la vivienda (001)",51042,46458,4584
"Red pública fuera de la vivienda (002)",8094,6132,1962
"Pilón de uso público (003)",2886,1421,1465
"Camión - cisterna u otro similar (004)",1690,628,1062
"Pozo (005)",4824,3083,1741
"Río, acequia, manatial o similar (006)",669,183,486
"Vecino (007)",4313,1702,2611
"Otro (008)",787,295,492
,,,
"URBANA (010)",67219,55440,11779
"Red pública dentro de la vivienda (011)",49469,45189,4280
"Red pública fuera de la vivienda (012)",7044,5392,1652
"Pilón de uso público (013)",2602,1234,1368
"Camión - cisterna u otro similar (014)",1502,539,963
"Pozo (015)",1727,1142,585
"Río, acequia, manatial o similar (016)",217,142,75
"Vecino (017)",3961,1542,2419
"Otro (018)",697,260,437
,,,
"RURAL (020)",7086,4462,2624
"Red pública dentro de la vivienda (021)",1573,1269,304
"Red pública fuera de la vivienda (022)",1050,740,310
"Pilón de uso público (023)",284,187,97
"Camión - cisterna u otro similar (024)",188,89,99
"Pozo (025)",3097,1941,1156
"Río, acequia, manatial o similar (026)",452,41,411
"Vecino (027)",352,160,192
"Otro (028)",90,35,55
