"CUADRO Nº 18: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y TIPO DE SERVICIO HIGIÉNICO QUE TIENE LA VIVIENDA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia CASTROVIRREYNA (000)",5978,2214,3764
"Red pública de desague dentro de la vivienda (001)",382,363,19
"Red pública de desague fuera de la vivienda (002)",76,68,8
"Pozo séptico (003)",92,62,30
"Pozo ciego o negro / letrina (004)",833,372,461
"Río, acequia o canal (005)",91,63,28
"No tiene (006)",4504,1286,3218
,,,
"URBANA (008)",1888,1359,529
"Red pública de desague dentro de la vivienda (009)",378,361,17
"Red pública de desague fuera de la vivienda (010)",73,67,6
"Pozo séptico (011)",26,22,4
"Pozo ciego o negro / letrina (012)",175,144,31
"Río, acequia o canal (013)",65,60,5
"No tiene (014)",1171,705,466
,,,
"RURAL (016)",4090,855,3235
"Red pública de desague dentro de la vivienda (017)",4,2,2
"Red pública de desague fuera de la vivienda (018)",3,1,2
"Pozo séptico (019)",66,40,26
"Pozo ciego o negro / letrina (020)",658,228,430
"Río, acequia o canal (021)",26,3,23
"No tiene (022)",3333,581,2752
