"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia TARATA (000)",2377,22,913,753,264,88,46,22,2,,267
"Conviviente (001)",826,8,342,254,84,34,16,1,1,,86
"Separado(a) (002)",128,,56,43,18,2,2,2,,,5
"Casado(a) (003)",887,7,344,304,104,32,16,13,,,67
"Viudo(a) (004)",267,3,95,99,26,12,3,3,1,,25
"Divorciado(a) (005)",18,1,10,2,3,,1,,,,1
"Soltero(a) (006)",251,3,66,51,29,8,8,3,,,83
,,,,,,,,,,,
"URBANA (008)",1879,18,709,608,209,63,33,18,1,,220
"Conviviente (009)",659,7,264,212,62,27,11,1,1,,74
"Separado(a) (010)",101,,44,35,14,2,2,2,,,2
"Casado(a) (011)",687,5,261,240,86,22,11,9,,,53
"Viudo(a) (012)",200,3,70,76,20,7,2,3,,,19
"Divorciado(a) (013)",16,1,9,2,3,,1,,,,
"Soltero(a) (014)",216,2,61,43,24,5,6,3,,,72
,,,,,,,,,,,
"RURAL (016)",498,4,204,145,55,25,13,4,1,,47
"Conviviente (017)",167,1,78,42,22,7,5,,,,12
"Separado(a) (018)",27,,12,8,4,,,,,,3
"Casado(a) (019)",200,2,83,64,18,10,5,4,,,14
"Viudo(a) (020)",67,,25,23,6,5,1,,1,,6
"Divorciado(a) (021)",2,,1,,,,,,,,1
"Soltero(a) (022)",35,1,5,8,5,3,2,,,,11
