"CUADRO Nº 17: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR DISPONIBILIDAD DE ALUMBRADO ELÉCTRICO, POR RED PÚBLICA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y TIPO DE ABASTECIMIENTO DE AGUA",,,
,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL; Y TIPO DE ABASTECIMIENTO DE AGUA",TOTAL,"DISPONE DE ALUMBRADO ELÉCTRICO POR RED PÚBLICA",
,,SI,NO
,,,
"Provincia QUISPICANCHI (000)",19502,10948,8554
"Red pública dentro de la vivienda (001)",7213,5631,1582
"Red pública fuera de la vivienda (002)",4465,3307,1158
"Pilón de uso público (003)",930,428,502
"Camión - cisterna u otro similar (004)",28,12,16
"Pozo (005)",1067,238,829
"Río, acequia, manatial o similar (006)",4993,1028,3965
"Vecino (007)",710,264,446
"Otro (008)",96,40,56
,,,
"URBANA (010)",6844,5702,1142
"Red pública dentro de la vivienda (011)",4023,3628,395
"Red pública fuera de la vivienda (012)",1838,1608,230
"Pilón de uso público (013)",199,126,73
"Camión - cisterna u otro similar (014)",10,9,1
"Pozo (015)",49,29,20
"Río, acequia, manatial o similar (016)",410,142,268
"Vecino (017)",270,140,130
"Otro (018)",45,20,25
,,,
"RURAL (020)",12658,5246,7412
"Red pública dentro de la vivienda (021)",3190,2003,1187
"Red pública fuera de la vivienda (022)",2627,1699,928
"Pilón de uso público (023)",731,302,429
"Camión - cisterna u otro similar (024)",18,3,15
"Pozo (025)",1018,209,809
"Río, acequia, manatial o similar (026)",4583,886,3697
"Vecino (027)",440,124,316
"Otro (028)",51,20,31
