"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORÍA DE OCUPACIÓN",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRANDES GRUPOS DE EDAD Y CATEGORIA DE OCUPACION",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TACNA (000)",113629,79029,10257,9761,14582
"Empleado (001)",37111,12433,4725,7175,12778
"Obrero (002)",15251,8788,2470,2287,1706
"Trabajador independiente (003)",49756,47253,2503,,
"Empleador o patrono (004)",2988,2387,325,208,68
"Trabajador familiar no remunerado (005)",5112,4757,234,91,30
"Trabajador del hogar (006)",3411,3411,,,
"De 06 a 14 años (008)",780,708,49,17,6
"Empleado (009)",96,85,8,2,1
"Obrero (010)",97,74,12,7,4
"Trabajador independiente (011)",162,155,7,,
"Trabajador familiar no remunerado (013)",355,324,22,8,1
"Trabajador del hogar (014)",70,70,,,
"De 15 a 29 años (016)",36752,25918,4168,3181,3485
"Empleado (017)",13600,6516,1987,2205,2892
"Obrero (018)",5900,3404,1031,888,577
"Trabajador independiente (019)",12834,11864,970,,
"Empleador o patrono (020)",643,505,77,50,11
"Trabajador familiar no remunerado (021)",1872,1726,103,38,5
"Trabajador del hogar (022)",1903,1903,,,
"De 30 a 44 años (024)",45283,30006,3973,4536,6768
"Empleado (025)",15472,4079,1915,3475,6003
"Obrero (026)",5703,3096,920,956,731
"Trabajador independiente (027)",20506,19566,940,,
"Empleador o patrono (028)",1112,879,125,84,24
"Trabajador familiar no remunerado (029)",1564,1460,73,21,10
"Trabajador del hogar (030)",926,926,,,
"De 45 a 64 años (032)",27001,19062,1879,1916,4144
"Empleado (033)",7544,1592,771,1431,3750
"Obrero (034)",3128,1905,459,406,358
"Trabajador independiente (035)",13843,13333,510,,
"Empleador o patrono (036)",969,766,108,65,30
"Trabajador familiar no remunerado (037)",1041,990,31,14,6
"Trabajador del hogar (038)",476,476,,,
"De 65 y más años (040)",3813,3335,188,111,179
"Empleado (041)",399,161,44,62,132
"Obrero (042)",423,309,48,30,36
"Trabajador independiente (043)",2411,2335,76,,
"Empleador o patrono (044)",264,237,15,9,3
"Trabajador familiar no remunerado (045)",280,257,5,10,8
"Trabajador del hogar (046)",36,36,,,
,,,,,
"URBANA (048)",105217,72133,9587,9404,14093
"Empleado (049)",36384,12205,4624,7067,12488
"Obrero (050)",12533,6894,2072,2056,1511
"Trabajador independiente (051)",46571,44179,2392,,
"Empleador o patrono (052)",2479,1910,307,198,64
