"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia PADRE ABAD (000)",20103,662,7441,7202,4072,726
"Agric., ganadería, caza y silvicultura (001)",11199,431,4011,3702,2479,576
"Pesca (002)",12,,5,4,2,1
"Explotación de minas y canteras (003)",31,,10,10,10,1
"Industrias manufactureras (004)",860,39,372,295,139,15
"Suministro de electricidad, gas y agua (005)",15,,6,5,4,
"Construcción (006)",1155,8,378,502,258,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2008,73,655,845,397,38
"Venta, mant.y rep. veh.autom.y motoc. (008)",289,11,120,106,45,7
"Comercio al por mayor (009)",99,,38,46,14,1
"Comercio al por menor (010)",1620,62,497,693,338,30
"Hoteles y restaurantes (011)",821,44,286,282,189,20
"Trans., almac. y comunicaciones (012)",1073,10,517,363,172,11
"Intermediación financiera (013)",11,,5,5,1,
"Activid.inmobil., empres. y alquileres (014)",340,,147,140,49,4
"Admin.pub. y defensa; p. segur.soc.afil (015)",575,,209,264,96,6
"Enseñanza (016)",568,,174,313,81,
"Servicios sociales y de salud (017)",140,,49,73,15,3
"Otras activ. serv.comun.soc y personales (018)",218,9,82,81,36,10
"Hogares privados con servicio doméstico (019)",365,24,220,80,31,10
"Actividad economica no especificada (021)",712,24,315,238,113,22
"Hombres (022)",15230,474,5617,5351,3181,607
"Agric., ganadería, caza y silvicultura (023)",9424,334,3425,3090,2071,504
"Pesca (024)",10,,4,4,1,1
"Explotación de minas y canteras (025)",30,,9,10,10,1
"Industrias manufactureras (026)",730,36,328,238,119,9
"Suministro de electricidad, gas y agua (027)",15,,6,5,4,
"Construcción (028)",1109,8,355,485,252,9
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1073,46,345,421,233,28
"Venta, mant.y rep. veh.autom.y motoc. (030)",257,11,105,92,42,7
"Comercio al por mayor (031)",75,,30,35,9,1
"Comercio al por menor (032)",741,35,210,294,182,20
"Hoteles y restaurantes (033)",164,16,55,41,44,8
"Trans., almac. y comunicaciones (034)",1015,8,476,355,167,9
"Intermediación financiera (035)",6,,3,2,1,
"Activid.inmobil., empres. y alquileres (036)",257,,96,114,43,4
"Admin.pub. y defensa; p. segur.soc.afil (037)",478,,172,215,85,6
"Enseñanza (038)",275,,69,156,50,
"Servicios sociales y de salud (039)",62,,17,31,12,2
"Otras activ. serv.comun.soc y personales (040)",100,4,40,36,14,6
