"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JAUJA (000)",28936,22408,2520,1675,2333
"Sin nivel (001)",1164,1057,79,24,4
"Educación inicial (002)",14,14,,,
"Primaria (003)",7466,6727,475,185,79
"Secundaria (004)",11513,9709,935,465,404
"Superior no univ. incompleta (005)",1736,1310,178,94,154
"Superior no univ. completa (006)",3006,1707,353,341,605
"Superior univ. incompleta (007)",1132,725,138,88,181
"Superior univ. completa (008)",2905,1159,362,478,906
"De 06 a 14 años (010)",377,331,36,10,
"Sin nivel (011)",7,6,1,,
"Educación inicial (012)",9,9,,,
"Primaria (013)",222,198,21,3,
"Secundaria (014)",139,118,14,7,
"De 15 a 29 años (020)",7964,6083,840,465,576
"Sin nivel (021)",61,54,7,,
"Educación inicial (022)",4,4,,,
"Primaria (023)",999,873,82,34,10
"Secundaria (024)",4055,3373,379,184,119
"Superior no univ. incompleta (025)",828,628,89,44,67
"Superior no univ. completa (026)",1142,698,144,109,191
"Superior univ. incompleta (027)",349,228,56,21,44
"Superior univ. completa (028)",526,225,83,73,145
"De 30 a 44 años (030)",9847,7205,936,697,1009
"Sin nivel (031)",228,198,21,7,2
"Educación inicial (032)",1,1,,,
"Primaria (033)",2043,1785,159,76,23
"Secundaria (034)",4042,3381,344,164,153
"Superior no univ. incompleta (035)",558,418,64,25,51
"Superior no univ. completa (036)",1256,671,146,156,283
"Superior univ. incompleta (037)",392,255,40,37,60
"Superior univ. completa (038)",1327,496,162,232,437
"De 45 a 64 años (040)",8289,6514,601,467,707
"Sin nivel (041)",473,425,32,14,2
"Primaria (043)",2749,2484,164,66,35
"Secundaria (044)",2909,2504,176,103,126
"Superior no univ. incompleta (045)",318,237,23,25,33
"Superior no univ. completa (046)",544,286,57,72,129
"Superior univ. incompleta (047)",357,213,40,29,75
"Superior univ. completa (048)",939,365,109,158,307
"De 65 y más años (050)",2459,2275,107,36,41
"Sin nivel (051)",395,374,18,3,
"Primaria (053)",1453,1387,49,6,11
"Secundaria (054)",368,333,22,7,6
"Superior no univ. incompleta (055)",32,27,2,,3
"Superior no univ. completa (056)",64,52,6,4,2
"Superior univ. incompleta (057)",34,29,2,1,2
"Superior univ. completa (058)",113,73,8,15,17
,,,,,
