"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELACIÓN DE PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAMANGA (000)",204174,29398,6167,69034,56604,7501,8764,12229,14477
"Jefe o Jefa (001)",55444,7447,91,16416,15471,2341,3541,3346,6791
"Esposa(o)/ compa¤era(o) (002)",30683,6179,86,10093,7222,1026,2018,1125,2934
"Hijo(a)/ hijastro(a) (003)",86248,10710,4755,32772,24583,2671,2036,5534,3187
"Yerno/ nuera (004)",2311,47,2,392,967,174,226,185,318
"Nieto(a) (005)",7572,1679,756,3340,1366,109,42,217,63
"Padres/ suegros (006)",2446,1510,,620,173,10,48,18,67
"Otro(a) pariente (007)",15397,1547,447,4627,5329,871,583,1291,702
"Trabajador(a) del hogar (008)",423,17,,146,223,19,4,11,3
"Pensionista (009)",147,12,,14,55,8,9,34,15
"Otro(a) no pariente (010)",3503,250,30,614,1215,272,257,468,397
"Hombres (012)",98390,9972,3101,32786,30562,3497,3612,7071,7789
"Jefe o Jefa (013)",36367,2682,59,11092,11353,1478,2174,2396,5133
"Esposa(o)/ compa¤era(o) (014)",2878,168,6,619,1136,149,177,278,345
"Hijo(a)/ hijastro(a) (015)",44008,5390,2435,16456,13239,1214,751,3087,1436
"Yerno/ nuera (016)",1024,12,,102,417,83,107,111,192
"Nieto(a) (017)",3934,865,369,1731,775,43,13,112,26
"Padres/ suegros (018)",655,231,,275,73,7,21,7,41
"Otro(a) pariente (019)",7689,543,215,2241,2881,390,261,759,399
"Trabajador(a) del hogar (020)",34,1,,9,23,,,,1
"Pensionista (021)",83,2,,8,33,5,4,22,9
"Otro(a) no pariente (022)",1718,78,17,253,632,128,104,299,207
"Mujeres (024)",105784,19426,3066,36248,26042,4004,5152,5158,6688
"Jefe o Jefa (025)",19077,4765,32,5324,4118,863,1367,950,1658
"Esposa(o)/ compa¤era(o) (026)",27805,6011,80,9474,6086,877,1841,847,2589
"Hijo(a)/ hijastro(a) (027)",42240,5320,2320,16316,11344,1457,1285,2447,1751
"Yerno/ nuera (028)",1287,35,2,290,550,91,119,74,126
"Nieto(a) (029)",3638,814,387,1609,591,66,29,105,37
"Padres/ suegros (030)",1791,1279,,345,100,3,27,11,26
"Otro(a) pariente (031)",7708,1004,232,2386,2448,481,322,532,303
"Trabajador(a) del hogar (032)",389,16,,137,200,19,4,11,2
"Pensionista (033)",64,10,,6,22,3,5,12,6
"Otro(a) no pariente (034)",1785,172,13,361,583,144,153,169,190
,,,,,,,,,
"URBANA (036)",148813,15396,4191,41614,45626,7145,8558,11991,14292
"Jefe o Jefa (037)",40069,3200,22,8947,12271,2236,3438,3264,6691
"Esposa(o)/ compa¤era(o) (038)",20969,2319,22,5467,6135,998,2002,1112,2914
"Hijo(a)/ hijastro(a) (039)",61340,6427,3220,19859,18819,2488,1966,5417,3144
"Yerno/ nuera (040)",1842,15,1,155,785,168,221,180,317
"Nieto(a) (041)",5654,1221,606,2333,1083,102,38,209,62
"Padres/ suegros (042)",1904,1048,,550,166,10,48,18,64
