"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia YUNGAY (000)",13784,155,5215,4912,1413,453,223,71,6,,1336
"Conviviente (001)",4249,56,1698,1475,430,100,52,14,2,,422
"Separado(a) (002)",777,13,281,274,94,43,18,5,,,49
"Casado(a) (003)",6386,57,2499,2422,687,203,102,39,4,,373
"Viudo(a) (004)",1457,18,558,533,131,62,36,8,,,111
"Divorciado(a) (005)",72,1,25,24,5,6,1,3,,,7
"Soltero(a) (006)",843,10,154,184,66,39,14,2,,,374
,,,,,,,,,,,
"URBANA (008)",3557,60,1185,1136,468,172,82,23,2,,429
"Conviviente (009)",1180,25,420,396,162,39,20,4,1,,113
"Separado(a) (010)",257,6,88,87,29,15,6,2,,,24
"Casado(a) (011)",1360,17,466,468,199,72,41,13,1,,83
"Viudo(a) (012)",340,5,134,101,41,18,8,1,,,32
"Divorciado(a) (013)",18,1,8,3,1,1,,1,,,3
"Soltero(a) (014)",402,6,69,81,36,27,7,2,,,174
,,,,,,,,,,,
"RURAL (016)",10227,95,4030,3776,945,281,141,48,4,,907
"Conviviente (017)",3069,31,1278,1079,268,61,32,10,1,,309
"Separado(a) (018)",520,7,193,187,65,28,12,3,,,25
"Casado(a) (019)",5026,40,2033,1954,488,131,61,26,3,,290
"Viudo(a) (020)",1117,13,424,432,90,44,28,7,,,79
"Divorciado(a) (021)",54,,17,21,4,5,1,2,,,4
"Soltero(a) (022)",441,4,85,103,30,12,7,,,,200
