"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",7274,1090,1930,1772,2482
"Asiste actualmente (001)",4630,767,1840,1480,543
"No asiste (002)",2644,323,90,292,1939
"Hombres (004)",3788,558,1021,925,1284
"Asiste actualmente (005)",2367,382,965,756,264
"No asiste (006)",1421,176,56,169,1020
"Mujeres (008)",3486,532,909,847,1198
"Asiste actualmente (009)",2263,385,875,724,279
"No asiste (010)",1223,147,34,123,919
,,,,,
"URBANA (012)",5884,884,1544,1430,2026
"Asiste actualmente (013)",3777,623,1478,1199,477
"No asiste (014)",2107,261,66,231,1549
"Hombres (016)",3040,453,819,732,1036
"Asiste actualmente (017)",1915,309,778,598,230
"No asiste (018)",1125,144,41,134,806
"Mujeres (020)",2844,431,725,698,990
"Asiste actualmente (021)",1862,314,700,601,247
"No asiste (022)",982,117,25,97,743
,,,,,
"RURAL (024)",1390,206,386,342,456
"Asiste actualmente (025)",853,144,362,281,66
"No asiste (026)",537,62,24,61,390
"Hombres (028)",748,105,202,193,248
"Asiste actualmente (029)",452,73,187,158,34
"No asiste (030)",296,32,15,35,214
"Mujeres (032)",642,101,184,149,208
"Asiste actualmente (033)",401,71,175,123,32
"No asiste (034)",241,30,9,26,176
