"CUADRO Nº 12: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE SI DISPONEN DEL SERVICIO DE AGUA POTABLE TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA POTABLE",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia BARRANCA",,,,,,,,,
"Viviendas particulares (001)",21749,1833,4639,4790,2829,440,344,217,6657
"Ocupantes presentes (002)",90059,7396,18901,19596,11718,1833,1460,949,28206
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",20174,1742,4376,4443,2541,369,311,196,6196
"Ocupantes presentes (005)",84377,7052,17953,18300,10643,1575,1352,862,26640
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",448,32,69,95,91,11,5,4,141
"Ocupantes presentes (008)",1492,107,267,326,301,32,15,15,429
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",584,23,67,114,135,23,20,13,189
"Ocupantes presentes (011)",2201,90,221,484,519,96,67,55,669
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",441,25,98,111,43,37,8,4,115
"Ocupantes presentes (014)",1636,105,372,384,180,130,26,17,422
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",9,2,4,,2,,,,1
"Ocupantes presentes (017)",44,8,15,,13,,,,8
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",60,6,21,22,4,,,,7
"Ocupantes presentes (020)",228,28,69,90,19,,,,22
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",31,3,4,5,11,,,,8
"Ocupantes presentes (023)",79,6,4,12,41,,,,16
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",2,,,,2,,,,
"Ocupantes presentes (026)",2,,,,2,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",20518,1794,4569,4708,2616,437,337,213,5844
"Ocupantes presentes (029)",85145,7248,18645,19278,10855,1815,1433,928,24943
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",18953,1705,4310,4361,2330,366,304,192,5385
"Ocupantes presentes (032)",79510,6912,17712,17982,9793,1557,1325,841,23388
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",448,32,69,95,91,11,5,4,141
"Ocupantes presentes (035)",1492,107,267,326,301,32,15,15,429
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",584,23,67,114,135,23,20,13,189
"Ocupantes presentes (038)",2201,90,221,484,519,96,67,55,669
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",441,25,98,111,43,37,8,4,115
"Ocupantes presentes (041)",1636,105,372,384,180,130,26,17,422
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",60,6,21,22,4,,,,7
"Ocupantes presentes (047)",228,28,69,90,19,,,,22
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",30,3,4,5,11,,,,7
"Ocupantes presentes (050)",76,6,4,12,41,,,,13
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",2,,,,2,,,,
"Ocupantes presentes (053)",2,,,,2,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",1231,39,70,82,213,3,7,4,813
"Ocupantes presentes (056)",4914,148,256,318,863,18,27,21,3263
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",1221,37,66,82,211,3,7,4,811
"Ocupantes presentes (059)",4867,140,241,318,850,18,27,21,3252
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",9,2,4,,2,,,,1
"Ocupantes presentes (071)",44,8,15,,13,,,,8
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (076)",1,,,,,,,,1
"Ocupantes presentes (077)",3,,,,,,,,3
"Otro tipo",,,,,,,,,
