"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia FERREÑAFE (000)",25116,316,9262,7479,2676,984,438,138,28,,3795
"Catolica (001)",20880,257,7524,6177,2303,871,378,121,24,,3225
"Cristiana / Evangelica (002)",3514,49,1453,1080,301,94,49,14,4,,470
"Otra (003)",402,6,143,130,50,12,9,2,,,50
"Ninguna (004)",320,4,142,92,22,7,2,1,,,50
,,,,,,,,,,,
"URBANA (006)",14340,145,4797,4423,1877,751,318,106,21,,1902
"Catolica (007)",12329,129,4021,3786,1662,676,281,96,19,,1659
"Cristiana / Evangelica (008)",1624,12,637,523,167,61,30,7,2,,185
"Otra (009)",247,3,78,79,35,9,6,2,,,35
"Ninguna (010)",140,1,61,35,13,5,1,1,,,23
,,,,,,,,,,,
"RURAL (012)",10776,171,4465,3056,799,233,120,32,7,,1893
"Catolica (013)",8551,128,3503,2391,641,195,97,25,5,,1566
"Cristiana / Evangelica (014)",1890,37,816,557,134,33,19,7,2,,285
"Otra (015)",155,3,65,51,15,3,3,,,,15
"Ninguna (016)",180,3,81,57,9,2,1,,,,27
