"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia SIHUAS (000)",26260,9098,2074,272,14828
"Hombres (001)",12853,4288,1043,160,7369
"Mujeres (002)",13407,4810,1031,112,7459
"PEA (003)",8720,1038,988,99,6600
"Hombres (004)",6029,680,566,74,4712
"Mujeres (005)",2691,358,422,25,1888
"Ocupada (006)",8288,980,970,94,6249
"Hombres (007)",5682,629,554,70,4432
"Mujeres (008)",2606,351,416,24,1817
"Desocupada (009)",432,58,18,5,351
"Hombres (010)",347,51,12,4,280
"Mujeres (011)",85,7,6,1,71
"No PEA (012)",17540,8060,1086,173,8228
"Hombres (013)",6824,3608,477,86,2657
"Mujeres (014)",10716,4452,609,87,5571
,,,,,
"URBANA (018)",6986,1429,1658,155,3750
"Hombres (019)",3479,682,830,96,1874
"Mujeres (020)",3507,747,828,59,1876
"PEA (021)",2870,263,819,77,1715
"Hombres (022)",1777,164,449,57,1109
"Mujeres (023)",1093,99,370,20,606
"Ocupada (024)",2688,252,803,73,1564
"Hombres (025)",1634,154,439,54,989
"Mujeres (026)",1054,98,364,19,575
"Desocupada (027)",182,11,16,4,151
"Hombres (028)",143,10,10,3,120
"Mujeres (029)",39,1,6,1,31
"No PEA (030)",4116,1166,839,78,2035
"Hombres (031)",1702,518,381,39,765
"Mujeres (032)",2414,648,458,39,1270
,,,,,
"RURAL (036)",19274,7669,416,117,11078
"Hombres (037)",9374,3606,213,64,5495
"Mujeres (038)",9900,4063,203,53,5583
"PEA (039)",5850,775,169,22,4885
"Hombres (040)",4252,516,117,17,3603
"Mujeres (041)",1598,259,52,5,1282
"Ocupada (042)",5600,728,167,21,4685
"Hombres (043)",4048,475,115,16,3443
"Mujeres (044)",1552,253,52,5,1242
"Desocupada (045)",250,47,2,1,200
"Hombres (046)",204,41,2,1,160
"Mujeres (047)",46,6,,,40
"No PEA (048)",13424,6894,247,95,6193
"Hombres (049)",5122,3090,96,47,1892
"Mujeres (050)",8302,3804,151,48,4301
