"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia VILCAS HUAMAN (000)",6650,104,2802,2036,629,211,95,48,9,,716
"Sin Nivel (001)",2658,50,1034,840,256,91,50,28,7,,302
"Educación Inicial (002)",9,,3,4,,,,,,,2
"Primaria (003)",2772,46,1309,824,229,68,32,18,2,,244
"Secundaria (004)",947,8,422,292,76,30,3,1,,,115
"Sup. no Univ. Incompleta (005)",66,,9,23,17,1,2,,,,14
"Sup. no Univ. Completa (006)",94,,12,25,24,10,4,1,,,18
"Sup. Univ. Incompleta (007)",19,,7,6,3,,,,,,3
"Sup. Univ. Completa (008)",85,,6,22,24,11,4,,,,18
,,,,,,,,,,,
"URBANA (010)",2137,28,804,588,238,86,39,20,5,,329
"Sin Nivel (011)",620,16,196,186,66,26,14,7,3,,106
"Educación Inicial (012)",1,,1,,,,,,,,
"Primaria (013)",862,9,397,207,83,23,16,12,2,,113
"Secundaria (014)",447,3,183,138,33,19,2,,,,69
"Sup. no Univ. Incompleta (015)",48,,6,16,14,1,2,,,,9
"Sup. no Univ. Completa (016)",75,,10,22,18,8,2,1,,,14
"Sup. Univ. Incompleta (017)",15,,6,6,2,,,,,,1
"Sup. Univ. Completa (018)",69,,5,13,22,9,3,,,,17
,,,,,,,,,,,
"RURAL (020)",4513,76,1998,1448,391,125,56,28,4,,387
"Sin Nivel (021)",2038,34,838,654,190,65,36,21,4,,196
"Educación Inicial (022)",8,,2,4,,,,,,,2
"Primaria (023)",1910,37,912,617,146,45,16,6,,,131
"Secundaria (024)",500,5,239,154,43,11,1,1,,,46
"Sup. no Univ. Incompleta (025)",18,,3,7,3,,,,,,5
"Sup. no Univ. Completa (026)",19,,2,3,6,2,2,,,,4
"Sup. Univ. Incompleta (027)",4,,1,,1,,,,,,2
"Sup. Univ. Completa (028)",16,,1,9,2,2,1,,,,1
