"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHOTA (000)",43359,532,16299,13856,4508,1559,696,202,45,,5662
"Sin Nivel (001)",15919,263,6002,5270,1643,608,323,118,27,,1665
"Educación Inicial (002)",56,3,27,11,1,1,,,,,13
"Primaria (003)",19552,226,8115,6171,1784,558,233,68,13,,2384
"Secundaria (004)",5003,37,1832,1552,464,141,51,7,4,,915
"Sup. no Univ. Incompleta (005)",468,1,77,157,68,16,9,,,,140
"Sup. no Univ. Completa (006)",1148,1,118,353,290,120,26,6,,,234
"Sup. Univ. Incompleta (007)",243,1,40,74,30,14,9,,1,,74
"Sup. Univ. Completa (008)",970,,88,268,228,101,45,3,,,237
,,,,,,,,,,,
"URBANA (010)",9207,96,2748,2832,1271,526,222,64,12,,1436
"Sin Nivel (011)",1673,46,578,520,171,79,44,22,3,,210
"Educación Inicial (012)",13,1,5,1,,,,,,,6
"Primaria (013)",3039,28,1156,944,325,144,70,28,4,,340
"Secundaria (014)",2135,18,736,669,232,88,31,6,4,,351
"Sup. no Univ. Incompleta (015)",331,1,61,103,55,12,8,,,,91
"Sup. no Univ. Completa (016)",942,1,104,285,251,97,22,6,,,176
"Sup. Univ. Incompleta (017)",213,1,34,67,26,14,7,,1,,63
"Sup. Univ. Completa (018)",861,,74,243,211,92,40,2,,,199
,,,,,,,,,,,
"RURAL (020)",34152,436,13551,11024,3237,1033,474,138,33,,4226
"Sin Nivel (021)",14246,217,5424,4750,1472,529,279,96,24,,1455
"Educación Inicial (022)",43,2,22,10,1,1,,,,,7
"Primaria (023)",16513,198,6959,5227,1459,414,163,40,9,,2044
"Secundaria (024)",2868,19,1096,883,232,53,20,1,,,564
"Sup. no Univ. Incompleta (025)",137,,16,54,13,4,1,,,,49
"Sup. no Univ. Completa (026)",206,,14,68,39,23,4,,,,58
"Sup. Univ. Incompleta (027)",30,,6,7,4,,2,,,,11
"Sup. Univ. Completa (028)",109,,14,25,17,9,5,1,,,38
