"CUADRO Nº 14: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y ESTADO CIVIL",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y ESTADO CIVIL",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia GRAN CHIMU (000)",7463,115,2981,2394,752,271,128,41,4,,777
"Conviviente (001)",4085,63,1874,1295,349,110,60,16,4,,314
"Separado(a) (002)",458,12,168,152,59,21,11,6,,,29
"Casado(a) (003)",1748,16,618,603,235,106,35,13,,,122
"Viudo(a) (004)",676,17,240,257,76,23,12,6,,,45
"Divorciado(a) (005)",17,,5,5,2,,,,,,5
"Soltero(a) (006)",479,7,76,82,31,11,10,,,,262
,,,,,,,,,,,
"URBANA (008)",1849,9,578,621,277,90,39,15,,,220
"Conviviente (009)",786,3,306,274,98,25,15,3,,,62
"Separado(a) (010)",127,,39,43,23,8,5,3,,,6
"Casado(a) (011)",562,2,155,186,110,44,13,6,,,46
"Viudo(a) (012)",181,3,57,75,24,7,1,3,,,11
"Divorciado(a) (013)",8,,1,3,1,,,,,,3
"Soltero(a) (014)",185,1,20,40,21,6,5,,,,92
,,,,,,,,,,,
"RURAL (016)",5614,106,2403,1773,475,181,89,26,4,,557
"Conviviente (017)",3299,60,1568,1021,251,85,45,13,4,,252
"Separado(a) (018)",331,12,129,109,36,13,6,3,,,23
"Casado(a) (019)",1186,14,463,417,125,62,22,7,,,76
"Viudo(a) (020)",495,14,183,182,52,16,11,3,,,34
"Divorciado(a) (021)",9,,4,2,1,,,,,,2
"Soltero(a) (022)",294,6,56,42,10,5,5,,,,170
