"CUADRO Nº 1: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR NÚMERO DE HOGARES, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HOGARES",,,,
,,1,2,3,4,"5 Y MÁS"
,,,,,,
"Provincia QUISPICANCHI",,,,,,
"Viviendas particulares (001)",19502,19105,348,39,9,1
"Ocupantes presentes (002)",80362,77059,2697,449,140,17
"Casa independiente",,,,,,
"Viviendas particulares (004)",17574,17194,333,37,9,1
"Ocupantes presentes (005)",72953,69781,2588,427,140,17
"Departamento en edificio",,,,,,
"Viviendas particulares (007)",22,21,,1,,
"Ocupantes presentes (008)",86,76,,10,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (010)",33,29,4,,,
"Ocupantes presentes (011)",105,71,34,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (013)",66,63,2,1,,
"Ocupantes presentes (014)",246,220,14,12,,
"Choza o cabaña",,,,,,
"Viviendas particulares (016)",1738,1729,9,,,
"Ocupantes presentes (017)",6812,6751,61,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (019)",7,7,,,,
"Ocupantes presentes (020)",19,19,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (022)",23,23,,,,
"Ocupantes presentes (023)",64,64,,,,
"Otro tipo",,,,,,
"Viviendas particulares (025)",39,39,,,,
"Ocupantes presentes (026)",77,77,,,,
,,,,,,
URBANA,,,,,,
"Viviendas particulares (028)",6844,6509,290,35,9,1
"Ocupantes presentes (029)",27768,24962,2237,412,140,17
"Casa independiente",,,,,,
"Viviendas particulares (031)",6701,6374,284,33,9,1
"Ocupantes presentes (032)",27274,24538,2189,390,140,17
"Departamento en edificio",,,,,,
"Viviendas particulares (034)",22,21,,1,,
"Ocupantes presentes (035)",86,76,,10,,
"Vivienda en quinta",,,,,,
"Viviendas particulares (037)",33,29,4,,,
"Ocupantes presentes (038)",105,71,34,,,
"Vivienda en casa de vecindad",,,,,,
"Viviendas particulares (040)",66,63,2,1,,
"Ocupantes presentes (041)",246,220,14,12,,
"Choza o cabaña",,,,,,
"Vivienda improvisada",,,,,,
"Viviendas particulares (046)",7,7,,,,
"Ocupantes presentes (047)",19,19,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (049)",14,14,,,,
"Ocupantes presentes (050)",37,37,,,,
"Otro tipo",,,,,,
"Viviendas particulares (052)",1,1,,,,
"Ocupantes presentes (053)",1,1,,,,
,,,,,,
RURAL,,,,,,
"Viviendas particulares (055)",12658,12596,58,4,,
"Ocupantes presentes (056)",52594,52097,460,37,,
"Casa independiente",,,,,,
"Viviendas particulares (058)",10873,10820,49,4,,
"Ocupantes presentes (059)",45679,45243,399,37,,
"Departamento en edificio",,,,,,
"Vivienda en quinta",,,,,,
"Vivienda en casa de vecindad",,,,,,
"Choza o cabaña",,,,,,
"Viviendas particulares (070)",1738,1729,9,,,
"Ocupantes presentes (071)",6812,6751,61,,,
"Vivienda improvisada",,,,,,
"Local no dest.para hab. humana",,,,,,
"Viviendas particulares (076)",9,9,,,,
"Ocupantes presentes (077)",27,27,,,,
"Otro tipo",,,,,,
"Viviendas particulares (079)",38,38,,,,
"Ocupantes presentes (080)",76,76,,,,
