"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia LUCANAS (000)",27959,23517,4442
"De 3 a 5 años (001)",4127,549,3578
"De 6 a 11 años (002)",8378,7742,636
"De 12 a 16 años (003)",7286,7230,56
"De 17 a 24 años (004)",8168,7996,172
"Hombres (005)",14559,12274,2285
"De 3 a 5 años (006)",2160,292,1868
"De 6 a 11 años (007)",4310,3978,332
"De 12 a 16 años (008)",3792,3766,26
"De 17 a 24 años (009)",4297,4238,59
"Mujeres (010)",13400,11243,2157
"De 3 a 5 años (011)",1967,257,1710
"De 6 a 11 años (012)",4068,3764,304
"De 12 a 16 años (013)",3494,3464,30
"De 17 a 24 años (014)",3871,3758,113
,,,
"URBANA (015)",16527,14278,2249
"De 3 a 5 años (016)",2228,331,1897
"De 6 a 11 años (017)",4835,4561,274
"De 12 a 16 años (018)",4634,4618,16
"De 17 a 24 años (019)",4830,4768,62
"Hombres (020)",8467,7314,1153
"De 3 a 5 años (021)",1157,174,983
"De 6 a 11 años (022)",2466,2336,130
"De 12 a 16 años (023)",2405,2396,9
"De 17 a 24 años (024)",2439,2408,31
"Mujeres (025)",8060,6964,1096
"De 3 a 5 años (026)",1071,157,914
"De 6 a 11 años (027)",2369,2225,144
"De 12 a 16 años (028)",2229,2222,7
"De 17 a 24 años (029)",2391,2360,31
,,,
"RURAL (030)",11432,9239,2193
"De 3 a 5 años (031)",1899,218,1681
"De 6 a 11 años (032)",3543,3181,362
"De 12 a 16 años (033)",2652,2612,40
"De 17 a 24 años (034)",3338,3228,110
"Hombres (035)",6092,4960,1132
"De 3 a 5 años (036)",1003,118,885
"De 6 a 11 años (037)",1844,1642,202
"De 12 a 16 años (038)",1387,1370,17
"De 17 a 24 años (039)",1858,1830,28
"Mujeres (040)",5340,4279,1061
"De 3 a 5 años (041)",896,100,796
"De 6 a 11 años (042)",1699,1539,160
"De 12 a 16 años (043)",1265,1242,23
"De 17 a 24 años (044)",1480,1398,82
