"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia TAHUAMANU (000)",3151,3054,839,523,475,361,444,215,197,97
"Católica (001)",2396,2320,632,410,374,287,343,142,132,76
"Cristiana/Evangélica (002)",386,373,101,50,54,40,54,37,37,13
"Otra (003)",313,308,91,50,34,31,42,34,26,5
"Ninguna (004)",56,53,15,13,13,3,5,2,2,3
,,,,,,,,,,
"URBANA (006)",2336,2271,655,417,374,271,310,128,116,65
"Católica (007)",1918,1866,528,346,313,228,261,99,91,52
"Cristiana/Evangélica (008)",262,254,81,35,37,28,32,21,20,8
"Otra (009)",104,102,33,24,11,12,12,7,3,2
"Ninguna (010)",52,49,13,12,13,3,5,1,2,3
,,,,,,,,,,
"RURAL (012)",815,783,184,106,101,90,134,87,81,32
"Católica (013)",478,454,104,64,61,59,82,43,41,24
"Cristiana/Evangélica (014)",124,119,20,15,17,12,22,16,17,5
"Otra (015)",209,206,58,26,23,19,30,27,23,3
"Ninguna (016)",4,4,2,1,,,,1,,
