"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia TAMBOPATA (000)",34005,9726,7157,13666,1086,1689,681
"Sin nivel (001)",990,78,182,567,32,103,28
"Educación inicial (002)",45,5,8,20,,9,3
"Primaria (003)",5641,531,1320,2935,186,526,143
"Secundaria (004)",13673,2667,3803,5745,436,692,330
"Superior no univ. incompleta (005)",2983,1027,554,1131,87,99,85
"Superior no univ. completa (006)",3409,1758,434,1012,111,66,28
"Superior univ. incompleta (007)",3051,1168,485,1135,93,127,43
"Superior univ. completa (008)",4213,2492,371,1121,141,67,21
"Hombres (010)",22485,5192,6374,9278,791,768,82
"Sin nivel (011)",433,19,119,253,14,22,6
"Educación inicial (012)",19,3,6,8,,2,
"Primaria (013)",3476,201,1088,1842,122,209,14
"Secundaria (014)",9730,1401,3472,4093,348,375,41
"Superior no univ. incompleta (015)",1955,551,502,782,64,46,10
"Superior no univ. completa (016)",2081,908,395,676,75,25,2
"Superior univ. incompleta (017)",2071,668,449,837,56,58,3
"Superior univ. completa (018)",2720,1441,343,787,112,31,6
"Mujeres (020)",11520,4534,783,4388,295,921,599
"Sin nivel (021)",557,59,63,314,18,81,22
"Educación inicial (022)",26,2,2,12,,7,3
"Primaria (023)",2165,330,232,1093,64,317,129
"Secundaria (024)",3943,1266,331,1652,88,317,289
"Superior no univ. incompleta (025)",1028,476,52,349,23,53,75
"Superior no univ. completa (026)",1328,850,39,336,36,41,26
"Superior univ. incompleta (027)",980,500,36,298,37,69,40
"Superior univ. completa (028)",1493,1051,28,334,29,36,15
,,,,,,,
"URBANA (030)",27624,9014,5082,10969,846,1150,563
"Sin nivel (031)",554,63,105,317,26,33,10
"Educación inicial (032)",34,3,5,17,,7,2
"Primaria (033)",3936,453,882,2046,120,331,104
"Secundaria (034)",10945,2451,2687,4706,324,490,287
"Superior no univ. incompleta (035)",2591,954,442,967,76,79,73
"Superior no univ. completa (036)",2967,1619,301,887,88,46,26
"Superior univ. incompleta (037)",2753,1113,390,1018,86,106,40
"Superior univ. completa (038)",3844,2358,270,1011,126,58,21
"Hombres (040)",17458,4795,4457,7092,579,477,58
"Sin nivel (041)",186,15,67,90,9,5,
"Educación inicial (042)",14,3,4,6,,1,
"Primaria (043)",2177,173,695,1106,71,122,10
"Secundaria (044)",7474,1309,2426,3229,242,236,32
"Superior no univ. incompleta (045)",1643,501,393,652,56,36,5
"Superior no univ. completa (046)",1727,814,267,578,54,12,2
"Superior univ. incompleta (047)",1820,629,360,735,50,43,3
"Superior univ. completa (048)",2417,1351,245,696,97,22,6
"Mujeres (050)",10166,4219,625,3877,267,673,505
"Sin nivel (051)",368,48,38,227,17,28,10
"Educación inicial (052)",20,,1,11,,6,2
"Primaria (053)",1759,280,187,940,49,209,94
"Secundaria (054)",3471,1142,261,1477,82,254,255
"Superior no univ. incompleta (055)",948,453,49,315,20,43,68
"Superior no univ. completa (056)",1240,805,34,309,34,34,24
"Superior univ. incompleta (057)",933,484,30,283,36,63,37
"Superior univ. completa (058)",1427,1007,25,315,29,36,15
,,,,,,,
"RURAL (060)",6381,712,2075,2697,240,539,118
"Sin nivel (061)",436,15,77,250,6,70,18
"Educación inicial (062)",11,2,3,3,,2,1
"Primaria (063)",1705,78,438,889,66,195,39
"Secundaria (064)",2728,216,1116,1039,112,202,43
"Superior no univ. incompleta (065)",392,73,112,164,11,20,12
"Superior no univ. completa (066)",442,139,133,125,23,20,2
"Superior univ. incompleta (067)",298,55,95,117,7,21,3
"Superior univ. completa (068)",369,134,101,110,15,9,
"Hombres (070)",5027,397,1917,2186,212,291,24
"Sin nivel (071)",247,4,52,163,5,17,6
"Educación inicial (072)",5,,2,2,,1,
"Primaria (073)",1299,28,393,736,51,87,4
"Secundaria (074)",2256,92,1046,864,106,139,9
"Superior no univ. incompleta (075)",312,50,109,130,8,10,5
"Superior no univ. completa (076)",354,94,128,98,21,13,
"Superior univ. incompleta (077)",251,39,89,102,6,15,
"Superior univ. completa (078)",303,90,98,91,15,9,
"Mujeres (080)",1354,315,158,511,28,248,94
"Sin nivel (081)",189,11,25,87,1,53,12
"Educación inicial (082)",6,2,1,1,,1,1
"Primaria (083)",406,50,45,153,15,108,35
"Secundaria (084)",472,124,70,175,6,63,34
"Superior no univ. incompleta (085)",80,23,3,34,3,10,7
"Superior no univ. completa (086)",88,45,5,27,2,7,2
"Superior univ. incompleta (087)",47,16,6,15,1,6,3
"Superior univ. completa (088)",66,44,3,19,,,
