"CUADRO Nº 10: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR GRUPOS DE EDAD NORMATIVA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y ASISTENCIA A UN CENTRO DE ENSEÑANZA REGULAR",TOTAL,"GRUPOS DE EDAD NORMATIVA",,,
,,"3 A 5 AÑOS","6 A 11 AÑOS","12 A 16 AÑOS","17 A 24 AÑOS"
,,,,,
"Provincia CASMA (000)",18197,2403,4916,4743,6135
"Asiste actualmente (001)",11559,1180,4711,4141,1527
"No asiste (002)",6638,1223,205,602,4608
"Hombres (004)",9432,1260,2571,2402,3199
"Asiste actualmente (005)",5946,632,2467,2104,743
"No asiste (006)",3486,628,104,298,2456
"Mujeres (008)",8765,1143,2345,2341,2936
"Asiste actualmente (009)",5613,548,2244,2037,784
"No asiste (010)",3152,595,101,304,2152
,,,,,
"URBANA (012)",12374,1629,3333,3147,4265
"Asiste actualmente (013)",8149,915,3220,2825,1189
"No asiste (014)",4225,714,113,322,3076
"Hombres (016)",6355,867,1730,1604,2154
"Asiste actualmente (017)",4186,492,1683,1446,565
"No asiste (018)",2169,375,47,158,1589
"Mujeres (020)",6019,762,1603,1543,2111
"Asiste actualmente (021)",3963,423,1537,1379,624
"No asiste (022)",2056,339,66,164,1487
,,,,,
"RURAL (024)",5823,774,1583,1596,1870
"Asiste actualmente (025)",3410,265,1491,1316,338
"No asiste (026)",2413,509,92,280,1532
"Hombres (028)",3077,393,841,798,1045
"Asiste actualmente (029)",1760,140,784,658,178
"No asiste (030)",1317,253,57,140,867
"Mujeres (032)",2746,381,742,798,825
"Asiste actualmente (033)",1650,125,707,658,160
"No asiste (034)",1096,256,35,140,665
