"CUADRO Nº 1: VIVIENDAS PARTICULARES, POR CONDICIÓN DE OCUPACIÓN DE LA VIVIENDA, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA",TOTAL,"CONDICIÓN DE OCUPACIÓN",,,,,,,,
,,OCUPADA,,,,DESOCUPADA,,,,
,,TOTAL,"CON PERSONAS PRESENTES","CON PERSONAS AUSENTES","DE USO OCASIONAL",TOTAL,"EN ALQUILER O VENTA","EN CONSTRUCCIÓN O REPARACIÓN","ABANDONADA CERRADA","OTRA CAUSA"
,,,,,,,,,,
"Provincia CALCA (000)",19266,18154,16264,1054,836,1112,17,255,820,20
"Casa independiente (001)",17113,16092,14283,1008,801,1021,17,255,734,15
"Departamento en edificio (002)",22,22,22,,,,,,,
"Vivienda en quinta (003)",36,36,36,,,,,,,
"Vivienda en casa de vecindad (004)",451,447,445,1,1,4,,,2,2
"Choza o cabaña (005)",1594,1511,1439,39,33,83,,,81,2
"Vivienda improvisada (006)",29,25,18,6,1,4,,,3,1
"Local no dest.para hab. humana (007)",19,19,19,,,,,,,
"Otro tipo (008)",2,2,2,,,,,,,
,,,,,,,,,,
"URBANA (009)",6329,6038,5701,277,60,291,10,82,190,9
"Casa independiente (010)",5776,5493,5165,270,58,283,10,82,185,6
"Departamento en edificio (011)",22,22,22,,,,,,,
"Vivienda en quinta (012)",36,36,36,,,,,,,
"Vivienda en casa de vecindad (013)",451,447,445,1,1,4,,,2,2
"Vivienda improvisada (015)",29,25,18,6,1,4,,,3,1
"Local no dest.para hab. humana (016)",14,14,14,,,,,,,
"Otro tipo (017)",1,1,1,,,,,,,
,,,,,,,,,,
"RURAL (018)",12937,12116,10563,777,776,821,7,173,630,11
"Casa independiente (019)",11337,10599,9118,738,743,738,7,173,549,9
"Choza o cabaña (023)",1594,1511,1439,39,33,83,,,81,2
"Local no dest.para hab. humana (025)",5,5,5,,,,,,,
"Otro tipo (026)",1,1,1,,,,,,,
