"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia CHUMBIVILCAS (000)",75585,74381,840,364
"Hombres (001)",38166,37697,284,185
"Mujeres (002)",37419,36684,556,179
"Menores de 1 año (003)",1533,1282,148,103
"Hombres (004)",768,650,66,52
"Mujeres (005)",765,632,82,51
"De 1 a 5 años (006)",9833,9363,234,236
"Hombres (007)",5000,4775,103,122
"Mujeres (008)",4833,4588,131,114
"De 6 a 14 años (009)",20517,20489,23,5
"Hombres (010)",10562,10551,8,3
"Mujeres (011)",9955,9938,15,2
"De 15 a 29 años (012)",15159,15149,8,2
"Hombres (013)",7663,7658,4,1
"Mujeres (014)",7496,7491,4,1
"De 30 a 44 años (015)",12455,12441,12,2
"Hombres (016)",6228,6221,5,2
"Mujeres (017)",6227,6220,7,
"De 45 a 64 años (018)",10773,10659,108,6
"Hombres (019)",5435,5412,22,1
"Mujeres (020)",5338,5247,86,5
"De 65 a más años (021)",5315,4998,307,10
"Hombres (022)",2510,2430,76,4
"Mujeres (023)",2805,2568,231,6
,,,,
"URBANA (024)",17505,17302,131,72
"Hombres (025)",8823,8751,37,35
"Mujeres (026)",8682,8551,94,37
"Menores de 1 año (027)",342,290,34,18
"Hombres (028)",165,141,15,9
"Mujeres (029)",177,149,19,9
"De 1 a 5 años (030)",2080,1998,30,52
"Hombres (031)",1075,1037,13,25
"Mujeres (032)",1005,961,17,27
"De 6 a 14 años (033)",4419,4416,3,
"Hombres (034)",2261,2260,1,
"Mujeres (035)",2158,2156,2,
"De 15 a 29 años (036)",4276,4275,1,
"Hombres (037)",2138,2137,1,
"Mujeres (038)",2138,2138,,
"De 30 a 44 años (039)",3324,3321,2,1
"Hombres (040)",1680,1679,,1
"Mujeres (041)",1644,1642,2,
"De 45 a 64 años (042)",2166,2158,7,1
"Hombres (043)",1121,1120,1,
"Mujeres (044)",1045,1038,6,1
"De 65 a más años (045)",898,844,54,
"Hombres (046)",383,377,6,
"Mujeres (047)",515,467,48,
,,,,
"RURAL (048)",58080,57079,709,292
"Hombres (049)",29343,28946,247,150
"Mujeres (050)",28737,28133,462,142
"Menores de 1 año (051)",1191,992,114,85
"Hombres (052)",603,509,51,43
"Mujeres (053)",588,483,63,42
"De 1 a 5 años (054)",7753,7365,204,184
"Hombres (055)",3925,3738,90,97
"Mujeres (056)",3828,3627,114,87
"De 6 a 14 años (057)",16098,16073,20,5
"Hombres (058)",8301,8291,7,3
"Mujeres (059)",7797,7782,13,2
"De 15 a 29 años (060)",10883,10874,7,2
"Hombres (061)",5525,5521,3,1
"Mujeres (062)",5358,5353,4,1
"De 30 a 44 años (063)",9131,9120,10,1
"Hombres (064)",4548,4542,5,1
"Mujeres (065)",4583,4578,5,
"De 45 a 64 años (066)",8607,8501,101,5
"Hombres (067)",4314,4292,21,1
"Mujeres (068)",4293,4209,80,4
"De 65 a más años (069)",4417,4154,253,10
"Hombres (070)",2127,2053,70,4
"Mujeres (071)",2290,2101,183,6
