"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia PISCO (000)",62312,29451,2460,776,27307,552,18,142,339,1267
"Hombres (001)",22455,14810,1560,366,4326,268,15,91,334,685
"Mujeres (002)",39857,14641,900,410,22981,284,3,51,5,582
"De 06 a 14 años (003)",21891,20917,,,629,126,1,14,,204
"Hombres (004)",11199,10724,,,288,68,1,8,,110
"Mujeres (005)",10692,10193,,,341,58,,6,,94
"De 15 a 29 años (006)",17913,8268,19,167,8660,,9,43,339,408
"Hombres (007)",5974,4011,9,62,1303,,8,23,334,224
"Mujeres (008)",11939,4257,10,105,7357,,1,20,5,184
"De 30 a 44 años (009)",9019,192,47,206,8301,,5,38,,230
"Hombres (010)",1205,51,26,81,896,,3,27,,121
"Mujeres (011)",7814,141,21,125,7405,,2,11,,109
"De 45 a 64 años (012)",7987,60,556,225,6904,1,3,27,,211
"Hombres (013)",1674,18,309,109,1099,1,3,20,,115
"Mujeres (014)",6313,42,247,116,5805,,,7,,96
"De 65 y más años (015)",5502,14,1838,178,2813,425,,20,,214
"Hombres (016)",2403,6,1216,114,740,199,,13,,115
"Mujeres (017)",3099,8,622,64,2073,226,,7,,99
,,,,,,,,,,
"AREA URBANA (018)",54567,25694,2204,669,24027,485,17,122,178,1171
"Hombres (019)",19760,12889,1398,316,4026,238,14,75,173,631
"Mujeres (020)",34807,12805,806,353,20001,247,3,47,5,540
"De 06 a 14 años (021)",19146,18254,,,576,118,1,12,,185
"Hombres (022)",9812,9373,,,263,66,1,6,,103
"Mujeres (023)",9334,8881,,,313,52,,6,,82
"De 15 a 29 años (024)",15522,7202,18,149,7545,,9,40,178,381
"Hombres (025)",5136,3445,8,56,1220,,8,22,173,204
"Mujeres (026)",10386,3757,10,93,6325,,1,18,5,177
"De 30 a 44 años (027)",8004,173,45,182,7352,,4,31,,217
"Hombres (028)",1126,48,24,76,840,,2,21,,115
"Mujeres (029)",6878,125,21,106,6512,,2,10,,102
"De 45 a 64 años (030)",7127,55,530,196,6126,,3,22,,195
"Hombres (031)",1560,18,293,95,1032,,3,16,,103
"Mujeres (032)",5567,37,237,101,5094,,,6,,92
"De 65 y más años (033)",4768,10,1611,142,2428,367,,17,,193
"Hombres (034)",2126,5,1073,89,671,172,,10,,106
"Mujeres (035)",2642,5,538,53,1757,195,,7,,87
,,,,,,,,,,
"AREA RURAL (036)",7745,3757,256,107,3280,67,1,20,161,96
"Hombres (037)",2695,1921,162,50,300,30,1,16,161,54
"Mujeres (038)",5050,1836,94,57,2980,37,,4,,42
"De 06 a 14 años (039)",2745,2663,,,53,8,,2,,19
"Hombres (040)",1387,1351,,,25,2,,2,,7
"Mujeres (041)",1358,1312,,,28,6,,,,12
"De 15 a 29 años (042)",2391,1066,1,18,1115,,,3,161,27
"Hombres (043)",838,566,1,6,83,,,1,161,20
"Mujeres (044)",1553,500,,12,1032,,,2,,7
"De 30 a 44 años (045)",1015,19,2,24,949,,1,7,,13
"Hombres (046)",79,3,2,5,56,,1,6,,6
"Mujeres (047)",936,16,,19,893,,,1,,7
"De 45 a 64 años (048)",860,5,26,29,778,1,,5,,16
"Hombres (049)",114,,16,14,67,1,,4,,12
"Mujeres (050)",746,5,10,15,711,,,1,,4
"De 65 y más años (051)",734,4,227,36,385,58,,3,,21
"Hombres (052)",277,1,143,25,69,27,,3,,9
"Mujeres (053)",457,3,84,11,316,31,,,,12
