"CUADRO Nº 14: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES QUE NO DISPONEN DEL SERVICIO DE AGUA TODOS LOS DÍAS DE LA SEMANA, POR NÚMERO DE HORAS AL DÍA QUE DISPONEN DEL SERVICIO EN LOS DÍAS QUE CUENTAN CON ESTE SERVICIO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"NÚMERO DE HORAS AL DÍA QUE DISPONE DE AGUA",,,,,,,
,,1-3,4-6,7-9,10-12,13-15,16-18,19-21,22-24
,,,,,,,,,
"Provincia CHINCHA",,,,,,,,,
"Viviendas particulares (001)",17595,10009,4991,777,1062,68,24,41,623
"Ocupantes presentes (002)",79243,45154,22313,3495,4794,318,109,181,2879
"Casa independiente",,,,,,,,,
"Viviendas particulares (004)",14236,8132,4056,617,843,57,18,38,475
"Ocupantes presentes (005)",64066,36759,18006,2805,3766,268,85,174,2203
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (007)",72,41,19,3,6,,,,3
"Ocupantes presentes (008)",308,186,64,14,39,,,,5
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (010)",97,50,28,2,12,,1,,4
"Ocupantes presentes (011)",385,193,116,6,48,,3,,19
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (013)",113,56,34,5,13,1,,,4
"Ocupantes presentes (014)",490,252,148,22,51,3,,,14
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (016)",30,14,9,7,,,,,
"Ocupantes presentes (017)",102,43,29,30,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (019)",2996,1676,839,142,186,9,5,3,136
"Ocupantes presentes (020)",13704,7570,3933,616,881,40,21,7,636
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (022)",32,21,6,1,2,1,,,1
"Ocupantes presentes (023)",119,82,17,2,9,7,,,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (025)",19,19,,,,,,,
"Ocupantes presentes (026)",69,69,,,,,,,
,,,,,,,,,
URBANA,,,,,,,,,
"Viviendas particulares (028)",17097,9761,4915,639,1051,68,24,41,598
"Ocupantes presentes (029)",77033,44085,21963,2887,4754,318,109,181,2736
"Casa independiente",,,,,,,,,
"Viviendas particulares (031)",13768,7898,3989,486,832,57,18,38,450
"Ocupantes presentes (032)",61958,35733,17685,2227,3726,268,85,174,2060
"Departamento en edificio",,,,,,,,,
"Viviendas particulares (034)",72,41,19,3,6,,,,3
"Ocupantes presentes (035)",308,186,64,14,39,,,,5
"Vivienda en quinta",,,,,,,,,
"Viviendas particulares (037)",97,50,28,2,12,,1,,4
"Ocupantes presentes (038)",385,193,116,6,48,,3,,19
"Vivienda en casa de vecindad",,,,,,,,,
"Viviendas particulares (040)",113,56,34,5,13,1,,,4
"Ocupantes presentes (041)",490,252,148,22,51,3,,,14
"Choza o cabaña",,,,,,,,,
"Vivienda improvisada",,,,,,,,,
"Viviendas particulares (046)",2996,1676,839,142,186,9,5,3,136
"Ocupantes presentes (047)",13704,7570,3933,616,881,40,21,7,636
"Local no dest.para hab. humana",,,,,,,,,
"Viviendas particulares (049)",32,21,6,1,2,1,,,1
"Ocupantes presentes (050)",119,82,17,2,9,7,,,2
"Otro tipo",,,,,,,,,
"Viviendas particulares (052)",19,19,,,,,,,
"Ocupantes presentes (053)",69,69,,,,,,,
,,,,,,,,,
RURAL,,,,,,,,,
"Viviendas particulares (055)",498,248,76,138,11,,,,25
"Ocupantes presentes (056)",2210,1069,350,608,40,,,,143
"Casa independiente",,,,,,,,,
"Viviendas particulares (058)",468,234,67,131,11,,,,25
"Ocupantes presentes (059)",2108,1026,321,578,40,,,,143
"Departamento en edificio",,,,,,,,,
"Vivienda en quinta",,,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,,
"Choza o cabaña",,,,,,,,,
"Viviendas particulares (070)",30,14,9,7,,,,,
"Ocupantes presentes (071)",102,43,29,30,,,,,
"Vivienda improvisada",,,,,,,,,
"Local no dest.para hab. humana",,,,,,,,,
"Otro tipo",,,,,,,,,
