"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia CHEPEN (000)",1748,377,1371
"Sin nivel (001)",107,8,99
"Educación inicial (002)",2,,2
"Primaria (003)",444,56,388
"Secundaria (004)",722,170,552
"Superior no univ. incompleta (005)",109,34,75
"Superior no univ. completa (006)",189,47,142
"Superior univ. incompleta (007)",68,25,43
"Superior univ. completa (008)",107,37,70
"Hombres (010)",1304,234,1070
"Sin nivel (011)",78,5,73
"Educación inicial (012)",1,,1
"Primaria (013)",372,38,334
"Secundaria (014)",587,124,463
"Superior no univ. incompleta (015)",64,15,49
"Superior no univ. completa (016)",91,18,73
"Superior univ. incompleta (017)",44,15,29
"Superior univ. completa (018)",67,19,48
"Mujeres (020)",444,143,301
"Sin nivel (021)",29,3,26
"Educación inicial (022)",1,,1
"Primaria (023)",72,18,54
"Secundaria (024)",135,46,89
"Superior no univ. incompleta (025)",45,19,26
"Superior no univ. completa (026)",98,29,69
"Superior univ. incompleta (027)",24,10,14
"Superior univ. completa (028)",40,18,22
,,,
"AREA URBANA (030)",1411,343,1068
"Sin nivel (031)",80,8,72
"Educación inicial (032)",2,,2
"Primaria (033)",318,48,270
"Secundaria (034)",581,153,428
"Superior no univ. incompleta (035)",94,32,62
"Superior no univ. completa (036)",175,45,130
"Superior univ. incompleta (037)",62,25,37
"Superior univ. completa (038)",99,32,67
"Hombres (040)",1012,202,810
"Sin nivel (041)",54,5,49
"Educación inicial (042)",1,,1
"Primaria (043)",261,30,231
"Secundaria (044)",460,107,353
"Superior no univ. incompleta (045)",51,13,38
"Superior no univ. completa (046)",83,16,67
"Superior univ. incompleta (047)",39,15,24
"Superior univ. completa (048)",63,16,47
"Mujeres (050)",399,141,258
"Sin nivel (051)",26,3,23
"Educación inicial (052)",1,,1
"Primaria (053)",57,18,39
"Secundaria (054)",121,46,75
"Superior no univ. incompleta (055)",43,19,24
"Superior no univ. completa (056)",92,29,63
"Superior univ. incompleta (057)",23,10,13
"Superior univ. completa (058)",36,16,20
,,,
"AREA RURAL (060)",337,34,303
"Sin nivel (061)",27,,27
"Primaria (063)",126,8,118
"Secundaria (064)",141,17,124
"Superior no univ. incompleta (065)",15,2,13
"Superior no univ. completa (066)",14,2,12
"Superior univ. incompleta (067)",6,,6
"Superior univ. completa (068)",8,5,3
"Hombres (070)",292,32,260
"Sin nivel (071)",24,,24
"Primaria (073)",111,8,103
"Secundaria (074)",127,17,110
"Superior no univ. incompleta (075)",13,2,11
"Superior no univ. completa (076)",8,2,6
"Superior univ. incompleta (077)",5,,5
"Superior univ. completa (078)",4,3,1
"Mujeres (080)",45,2,43
"Sin nivel (081)",3,,3
"Primaria (083)",15,,15
"Secundaria (084)",14,,14
"Superior no univ. incompleta (085)",2,,2
"Superior no univ. completa (086)",6,,6
"Superior univ. incompleta (087)",1,,1
"Superior univ. completa (088)",4,2,2
