"CUADRO Nº 25: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LUCANAS (000)",23265,3474,4487,11975,194,2864,271
"Agric., ganadería, caza y silvicultura (001)",11553,21,1999,7049,111,2373,
"Pesca (002)",5,,3,2,,,
"Explotación de minas y canteras (003)",2624,71,1387,1083,6,77,
"Industrias manufactureras (004)",515,16,167,305,10,17,
"Suministro de electricidad, gas y agua (005)",32,5,26,1,,,
"Construcción (006)",586,35,412,122,7,10,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2378,134,28,1960,25,231,
"Venta, mant.y rep. veh.autom y motoc. (008)",103,5,18,73,3,4,
"Comercio al por mayor (009)",85,11,,65,2,7,
"Comercio al por menor (010)",2190,118,10,1822,20,220,
"Hoteles y restaurantes (011)",571,123,23,376,9,40,
"Trans., almac. y comunicaciones (012)",661,149,102,388,12,10,
"Intermediación financiera (013)",30,30,,,,,
"Activid.inmobil., empres. y alquileres (014)",237,145,9,77,5,1,
"Admin.pub. y defensa; p. segur soc.afil (015)",459,336,123,,,,
"Enseñanza (016)",1932,1797,,129,,6,
"Servicios sociales y de salud (017)",399,356,2,35,2,4,
"Otras activ. serv.comun.soc y personales (018)",198,59,17,119,2,1,
"Hogares privados con servicio doméstico (019)",271,,,,,,271
"Actividad economica no especificada (021)",814,197,189,329,5,94,
"Hombres (022)",15883,1953,3779,8667,144,1309,31
"Agric., ganadería, caza y silvicultura (023)",8395,18,1478,5686,89,1124,
"Pesca (024)",5,,3,2,,,
"Explotación de minas y canteras (025)",2489,58,1352,1003,6,70,
"Industrias manufactureras (026)",384,11,113,240,7,13,
"Suministro de electricidad, gas y agua (027)",27,5,21,1,,,
"Construcción (028)",566,30,403,117,7,9,
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1005,69,28,859,12,37,
"Venta, mant.y rep. veh.autom y motoc. (030)",92,5,18,63,2,4,
"Comercio al por mayor (031)",48,8,,37,2,1,
"Comercio al por menor (032)",865,56,10,759,8,32,
"Hoteles y restaurantes (033)",95,28,7,51,4,5,
"Trans., almac. y comunicaciones (034)",630,134,98,378,10,10,
"Intermediación financiera (035)",18,18,,,,,
"Activid.inmobil., empres. y alquileres (036)",188,113,9,61,4,1,
"Admin.pub. y defensa; p. segur soc.afil (037)",369,263,106,,,,
"Enseñanza (038)",961,923,,36,,2,
"Servicios sociales y de salud (039)",170,139,2,25,2,2,
"Otras activ. serv.comun.soc y personales (040)",123,40,16,66,1,,
"Hogares privados con servicio doméstico (041)",31,,,,,,31
"Actividad economica no especificada (043)",427,104,143,142,2,36,
"Mujeres (044)",7382,1521,708,3308,50,1555,240
"Agric., ganadería, caza y silvicultura (045)",3158,3,521,1363,22,1249,
"Explotación de minas y canteras (047)",135,13,35,80,,7,
"Industrias manufactureras (048)",131,5,54,65,3,4,
"Suministro de electricidad, gas y agua (049)",5,,5,,,,
"Construcción (050)",20,5,9,5,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (051)",1373,65,,1101,13,194,
"Venta, mant.y rep. veh.autom y motoc. (052)",11,,,10,1,,
"Comercio al por mayor (053)",37,3,,28,,6,
"Comercio al por menor (054)",1325,62,,1063,12,188,
"Hoteles y restaurantes (055)",476,95,16,325,5,35,
"Trans., almac. y comunicaciones (056)",31,15,4,10,2,,
"Intermediación financiera (057)",12,12,,,,,
"Activid.inmobil., empres. y alquileres (058)",49,32,,16,1,,
"Admin.pub. y defensa; p. segur soc.afil (059)",90,73,17,,,,
"Enseñanza (060)",971,874,,93,,4,
"Servicios sociales y de salud (061)",229,217,,10,,2,
"Otras activ. serv.comun.soc y personales (062)",75,19,1,53,1,1,
"Hogares privados con servicio doméstico (063)",240,,,,,,240
"Actividad economica no especificada (065)",387,93,46,187,3,58,
,,,,,,,
"URBANA (066)",13728,2942,2064,6845,124,1533,220
"Agric., ganadería, caza y silvicultura (067)",5853,15,1081,3504,64,1189,
"Pesca (068)",4,,2,2,,,
"Explotación de minas y canteras (069)",489,19,221,222,,27,
"Industrias manufactureras (070)",443,16,138,266,10,13,
"Suministro de electricidad, gas y agua (071)",11,5,6,,,,
"Construcción (072)",474,28,332,100,6,8,
"Comerc., rep. veh. autom.,motoc. efect. pers. (073)",1982,114,27,1630,17,194,
"Venta, mant.y rep. veh.autom y motoc. (074)",90,5,18,61,2,4,
"Comercio al por mayor (075)",79,11,,59,2,7,
"Comercio al por menor (076)",1813,98,9,1510,13,183,
"Hoteles y restaurantes (077)",456,101,13,308,9,25,
"Trans., almac. y comunicaciones (078)",542,126,57,345,6,8,
"Intermediación financiera (079)",29,29,,,,,
"Activid.inmobil., empres. y alquileres (080)",214,134,9,67,3,1,
"Admin.pub. y defensa; p. segur soc.afil (081)",374,308,66,,,,
"Enseñanza (082)",1616,1519,,91,,6,
"Servicios sociales y de salud (083)",359,319,2,32,2,4,
"Otras activ. serv.comun.soc y personales (084)",163,48,9,104,2,,
"Hogares privados con servicio doméstico (085)",220,,,,,,220
"Actividad economica no especificada (087)",499,161,101,174,5,58,
"Hombres (088)",8612,1677,1670,4571,91,588,15
"Agric., ganadería, caza y silvicultura (089)",4072,13,791,2730,51,487,
"Pesca (090)",4,,2,2,,,
"Explotación de minas y canteras (091)",473,15,218,216,,24,
"Industrias manufactureras (092)",330,11,89,212,7,11,
"Suministro de electricidad, gas y agua (093)",11,5,6,,,,
"Construcción (094)",456,23,325,95,6,7,
"Comerc., rep. veh. autom.,motoc. efect. pers. (095)",832,59,27,707,11,28,
"Venta, mant.y rep. veh.autom y motoc. (096)",80,5,18,52,1,4,
"Comercio al por mayor (097)",43,8,,32,2,1,
"Comercio al por menor (098)",709,46,9,623,8,23,
"Hoteles y restaurantes (099)",79,26,3,42,4,4,
"Trans., almac. y comunicaciones (100)",512,112,53,335,4,8,
"Intermediación financiera (101)",17,17,,,,,
"Activid.inmobil., empres. y alquileres (102)",170,105,9,52,3,1,
"Admin.pub. y defensa; p. segur soc.afil (103)",302,242,60,,,,
"Enseñanza (104)",832,804,,26,,2,
"Servicios sociales y de salud (105)",151,122,2,23,2,2,
"Otras activ. serv.comun.soc y personales (106)",98,33,8,56,1,,
"Hogares privados con servicio doméstico (107)",15,,,,,,15
"Actividad economica no especificada (109)",258,90,77,75,2,14,
"Mujeres (110)",5116,1265,394,2274,33,945,205
"Agric., ganadería, caza y silvicultura (111)",1781,2,290,774,13,702,
"Explotación de minas y canteras (113)",16,4,3,6,,3,
"Industrias manufactureras (114)",113,5,49,54,3,2,
"Construcción (116)",18,5,7,5,,1,
"Comerc., rep. veh. autom.,motoc. efect. pers. (117)",1150,55,,923,6,166,
"Venta, mant.y rep. veh.autom y motoc. (118)",10,,,9,1,,
"Comercio al por mayor (119)",36,3,,27,,6,
"Comercio al por menor (120)",1104,52,,887,5,160,
"Hoteles y restaurantes (121)",377,75,10,266,5,21,
