"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia CAJATAMBO (000)",2968,2895,717,285,300,281,517,396,399,73
"Católica (001)",2183,2126,541,220,230,214,351,282,288,57
"Cristiana/Evangélica (002)",588,577,120,42,46,51,127,98,93,11
"Otra (003)",104,100,24,11,15,10,21,8,11,4
"Ninguna (004)",93,92,32,12,9,6,18,8,7,1
,,,,,,,,,,
"URBANA (006)",1902,1857,469,171,190,196,341,248,242,45
"Católica (007)",1330,1296,323,134,138,154,215,166,166,34
"Cristiana/Evangélica (008)",400,394,93,21,33,28,90,69,60,6
"Otra (009)",94,90,23,9,12,10,19,7,10,4
"Ninguna (010)",78,77,30,7,7,4,17,6,6,1
,,,,,,,,,,
"RURAL (012)",1066,1038,248,114,110,85,176,148,157,28
"Católica (013)",853,830,218,86,92,60,136,116,122,23
"Cristiana/Evangélica (014)",188,183,27,21,13,23,37,29,33,5
"Otra (015)",10,10,1,2,3,,2,1,1,
"Ninguna (016)",15,15,2,5,2,2,1,2,1,
