"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia REQUENA",,,,,,,,
"Hogares (001)",12253,4182,3445,987,81,947,187,6448
"Ocupantes presentes (002)",64780,22657,18721,5183,433,4767,882,33190
"Casa independiente",,,,,,,,
"Hogares (004)",10235,3635,3276,924,80,915,179,5057
"Ocupantes presentes (005)",54479,19698,17874,4908,427,4646,849,26234
"Departamento en edificio",,,,,,,,
"Hogares (007)",5,4,4,2,,1,1,
"Ocupantes presentes (008)",13,8,12,6,,1,1,
"Vivienda en quinta",,,,,,,,
"Hogares (010)",78,34,31,11,,8,4,38
"Ocupantes presentes (011)",291,129,116,51,,31,19,146
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",6,3,4,,,3,,2
"Ocupantes presentes (014)",25,13,18,,,15,,7
"Choza o cabaña",,,,,,,,
"Hogares (016)",1844,481,107,39,,13,2,1304
"Ocupantes presentes (017)",9614,2709,606,161,,39,9,6596
"Vivienda improvisada",,,,,,,,
"Hogares (019)",60,19,20,10,,5,,30
"Ocupantes presentes (020)",252,78,80,51,,21,,132
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",15,5,3,1,1,2,1,8
"Ocupantes presentes (023)",52,13,15,6,6,14,4,30
"Otro tipo",,,,,,,,
"Hogares (025)",10,1,,,,,,9
"Ocupantes presentes (026)",54,9,,,,,,45
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",6875,2809,3079,851,80,903,179,2653
"Ocupantes presentes (029)",36704,15172,16693,4479,425,4543,846,13747
"Casa independiente",,,,,,,,
"Hogares (031)",6714,2745,3017,827,79,884,173,2577
"Ocupantes presentes (032)",36073,14932,16452,4365,419,4461,822,13433
"Departamento en edificio",,,,,,,,
"Hogares (034)",5,4,4,2,,1,1,
"Ocupantes presentes (035)",13,8,12,6,,1,1,
"Vivienda en quinta",,,,,,,,
"Hogares (037)",78,34,31,11,,8,4,38
"Ocupantes presentes (038)",291,129,116,51,,31,19,146
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",6,3,4,,,3,,2
"Ocupantes presentes (041)",25,13,18,,,15,,7
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",60,19,20,10,,5,,30
"Ocupantes presentes (047)",252,78,80,51,,21,,132
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",10,4,3,1,1,2,1,4
"Ocupantes presentes (050)",40,12,15,6,6,14,4,19
"Otro tipo",,,,,,,,
"Hogares (052)",2,,,,,,,2
"Ocupantes presentes (053)",10,,,,,,,10
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",5378,1373,366,136,1,44,8,3795
"Ocupantes presentes (056)",28076,7485,2028,704,8,224,36,19443
"Casa independiente",,,,,,,,
"Hogares (058)",3521,890,259,97,1,31,6,2480
"Ocupantes presentes (059)",18406,4766,1422,543,8,185,27,12801
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",1844,481,107,39,,13,2,1304
"Ocupantes presentes (071)",9614,2709,606,161,,39,9,6596
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",5,1,,,,,,4
"Ocupantes presentes (077)",12,1,,,,,,11
"Otro tipo",,,,,,,,
"Hogares (079)",8,1,,,,,,7
"Ocupantes presentes (080)",44,9,,,,,,35
