"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia PARURO (000)",26626,15774,874,340,9666
"Hombres (001)",13545,7800,494,213,5056
"Mujeres (002)",13081,7974,380,127,4610
"PEA (003)",9219,3964,483,183,4606
"Hombres (004)",6870,2897,329,150,3508
"Mujeres (005)",2349,1067,154,33,1098
"Ocupada (006)",9028,3906,479,183,4477
"Hombres (007)",6717,2856,328,150,3397
"Mujeres (008)",2311,1050,151,33,1080
"Desocupada (009)",191,58,4,,129
"Hombres (010)",153,41,1,,111
"Mujeres (011)",38,17,3,,18
"No PEA (012)",17407,11810,391,157,5060
"Hombres (013)",6675,4903,165,63,1548
"Mujeres (014)",10732,6907,226,94,3512
,,,,,
"URBANA (018)",9304,4228,570,176,4343
"Hombres (019)",4697,2110,301,117,2178
"Mujeres (020)",4607,2118,269,59,2165
"PEA (021)",3717,1056,330,105,2234
"Hombres (022)",2547,737,197,89,1530
"Mujeres (023)",1170,319,133,16,704
"Ocupada (024)",3652,1042,326,105,2187
"Hombres (025)",2501,727,196,89,1495
"Mujeres (026)",1151,315,130,16,692
"Desocupada (027)",65,14,4,,47
"Hombres (028)",46,10,1,,35
"Mujeres (029)",19,4,3,,12
"No PEA (030)",5587,3172,240,71,2109
"Hombres (031)",2150,1373,104,28,648
"Mujeres (032)",3437,1799,136,43,1461
,,,,,
"RURAL (036)",17322,11546,304,164,5323
"Hombres (037)",8848,5690,193,96,2878
"Mujeres (038)",8474,5856,111,68,2445
"PEA (039)",5502,2908,153,78,2372
"Hombres (040)",4323,2160,132,61,1978
"Mujeres (041)",1179,748,21,17,394
"Ocupada (042)",5376,2864,153,78,2290
"Hombres (043)",4216,2129,132,61,1902
"Mujeres (044)",1160,735,21,17,388
"Desocupada (045)",126,44,,,82
"Hombres (046)",107,31,,,76
"Mujeres (047)",19,13,,,6
"No PEA (048)",11820,8638,151,86,2951
"Hombres (049)",4525,3530,61,35,900
"Mujeres (050)",7295,5108,90,51,2051
