"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TOCACHE (000)",22848,22303,6521,3333,3188,2562,3504,1801,912,482,545,57522
"De 12 a 14 años (001)",2507,2491,2470,19,2,,,,,,16,23
"De 15 a 19 años (002)",3493,3411,2660,646,91,12,2,,,,82,872
"De 20 a 24 años (003)",2937,2737,819,1116,600,158,40,4,,,200,2981
"De 25 a 29 años (004)",2416,2303,235,698,731,397,226,13,3,,113,4408
"De 30 a 34 años (005)",2217,2168,120,332,618,500,474,102,17,5,49,5966
"De 35 a 39 años (006)",2325,2302,56,202,467,547,724,235,63,8,23,8075
"De 40 a 44 años (007)",2108,2093,57,133,328,391,694,347,123,20,15,8524
"De 45 a 49 años (008)",1495,1485,21,55,169,247,498,307,140,48,10,6996
"De 50 y más años (009)",3350,3313,83,132,182,310,846,793,566,401,37,19677
"PEA (010)",6540,6303,1136,1106,1148,878,1158,540,225,112,237,17744
"De 12 a 14 años (011)",120,120,113,6,1,,,,,,,8
"De 15 a 19 años (012)",577,559,412,124,21,2,,,,,18,172
"De 20 a 24 años (013)",839,758,319,277,117,30,12,3,,,81,671
"De 25 a 29 años (014)",799,729,129,259,210,82,47,1,1,,70,1132
"De 30 a 34 años (015)",815,783,66,162,243,141,142,26,2,1,32,1880
"De 35 a 39 años (016)",922,908,39,114,216,221,235,65,14,4,14,2813
"De 40 a 44 años (017)",873,864,23,82,185,165,263,115,27,4,9,3114
"De 45 a 49 años (018)",606,601,11,32,87,118,194,104,47,8,5,2567
"De 50 y más años (019)",989,981,24,50,68,119,265,226,134,95,8,5387
"Ocupada (020)",6400,6169,1071,1081,1134,871,1144,534,222,112,231,17545
"De 12 a 14 años (021)",113,113,106,6,1,,,,,,,8
