"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",4193,38,130,333,487,749,1661,795
"De 12 a 14 años (001)",4,,,,,,,4
"De 15 a 19 años (002)",98,,,,,,61,37
"De 20 a 24 años (003)",403,,,,,,264,139
"De 25 a 29 años (004)",460,,,,,6,354,100
"De 30 a 34 años (005)",405,,,,1,40,311,53
"De 35 a 39 años (006)",441,,,,4,88,308,41
"De 40 a 44 años (007)",387,,,,10,132,203,42
"De 45 a 49 años (008)",366,,,,25,169,134,38
"De 50 y más años (009)",1629,38,130,333,447,314,26,341
"Sin nivel (010)",1513,34,104,250,298,240,269,318
"De 15 a 19 años (012)",2,,,,,,,2
"De 20 a 24 años (013)",25,,,,,,15,10
"De 25 a 29 años (014)",32,,,,,,29,3
"De 30 a 34 años (015)",60,,,,1,5,46,8
"De 35 a 39 años (016)",93,,,,1,9,72,11
"De 40 a 44 años (017)",94,,,,2,24,55,13
"De 45 a 49 años (018)",104,,,,6,49,37,12
"De 50 y más años (019)",1103,34,104,250,288,153,15,259
"Educacion Inicial (020)",7,,,,,,6,1
"De 20 a 24 años (023)",1,,,,,,,1
"De 25 a 29 años (024)",3,,,,,,3,
"De 30 a 34 años (025)",2,,,,,,2,
"De 35 a 39 años (026)",1,,,,,,1,
"Primaria (030)",1503,4,24,72,140,340,711,212
"De 12 a 14 años (031)",3,,,,,,,3
"De 15 a 19 años (032)",39,,,,,,27,12
"De 20 a 24 años (033)",143,,,,,,97,46
"De 25 a 29 años (034)",167,,,,,3,136,28
"De 30 a 34 años (035)",165,,,,,12,135,18
"De 35 a 39 años (036)",202,,,,1,50,136,15
"De 40 a 44 años (037)",179,,,,3,64,99,13
"De 45 a 49 años (038)",172,,,,12,77,71,12
"De 50 y más años (039)",433,4,24,72,124,134,10,65
"Secundaria (040)",844,,1,6,26,116,514,181
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",55,,,,,,32,23
"De 20 a 24 años (043)",193,,,,,,132,61
"De 25 a 29 años (044)",194,,,,,3,144,47
"De 30 a 34 años (045)",125,,,,,18,90,17
"De 35 a 39 años (046)",91,,,,1,18,62,10
"De 40 a 44 años (047)",75,,,,3,32,33,7
"De 45 a 49 años (048)",58,,,,4,27,20,7
"De 50 y más años (049)",52,,1,6,18,18,1,8
"Sup. no Univ. incompleta (050)",70,,,,,5,44,21
"De 15 a 19 años (052)",1,,,,,,1,
"De 20 a 24 años (053)",19,,,,,,9,10
"De 25 a 29 años (054)",19,,,,,,11,8
"De 30 a 34 años (055)",14,,,,,1,12,1
