"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",5963,5872,1770,553,560,463,817,700,495,514,91,21210
"De 12 a 14 años (001)",724,721,720,,1,,,,,,3,2
"De 15 a 19 años (002)",755,750,657,77,15,1,,,,,5,110
"De 20 a 24 años (003)",591,556,188,193,111,53,7,4,,,35,628
"De 25 a 29 años (004)",522,503,62,114,130,105,83,9,,,19,1106
"De 30 a 34 años (005)",435,429,30,30,94,83,122,63,6,1,6,1475
"De 35 a 39 años (006)",463,462,22,27,48,76,139,87,40,23,1,2118
"De 40 a 44 años (007)",401,392,14,12,35,38,102,84,56,51,9,2219
"De 45 a 49 años (008)",373,373,7,15,24,28,83,89,65,62,,2318
"De 50 y más años (009)",1699,1686,70,85,102,79,281,364,328,377,13,11234
"PEA (010)",600,581,163,100,89,56,79,52,23,19,19,1525
"De 12 a 14 años (011)",4,4,4,,,,,,,,,
"De 15 a 19 años (012)",62,62,56,6,,,,,,,,6
"De 20 a 24 años (013)",100,90,46,32,6,4,1,1,,,10,67
"De 25 a 29 años (014)",75,71,28,25,12,5,1,,,,4,69
"De 30 a 34 años (015)",59,56,9,11,16,8,9,3,,,3,125
"De 35 a 39 años (016)",71,71,10,6,17,14,17,3,4,,,211
"De 40 a 44 años (017)",62,61,3,4,13,10,22,8,,1,1,217
"De 45 a 49 años (018)",49,49,1,5,7,8,13,8,4,3,,217
"De 50 y más años (019)",118,117,6,11,18,7,16,29,15,15,1,613
"Ocupada (020)",538,525,134,92,86,54,74,47,21,17,13,1410
"De 12 a 14 años (021)",3,3,3,,,,,,,,,
"De 15 a 19 años (022)",42,42,36,6,,,,,,,,6
"De 20 a 24 años (023)",86,80,42,28,5,4,,1,,,6,57
