"CUADRO Nº 4: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICION DE ACTIVIDAD",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia POMABAMBA (000)",23998,12124,2564,269,9061
"Hombres (001)",11498,5582,1265,152,4513
"Mujeres (002)",12500,6542,1299,117,4548
"PEA (003)",6244,2071,1093,123,2971
"Hombres (004)",4887,1682,662,93,2461
"Mujeres (005)",1357,389,431,30,510
"Ocupada (006)",5891,1926,1074,121,2784
"Hombres (007)",4623,1567,652,91,2324
"Mujeres (008)",1268,359,422,30,460
"Desocupada (009)",353,145,19,2,187
"Hombres (010)",264,115,10,2,137
"Mujeres (011)",89,30,9,,50
"No PEA (012)",17754,10053,1471,146,6090
"Hombres (013)",6611,3900,603,59,2052
"Mujeres (014)",11143,6153,868,87,4038
,,,,,
"URBANA (018)",5411,1354,1868,153,2049
"Hombres (019)",2620,610,918,95,1005
"Mujeres (020)",2791,744,950,58,1044
"PEA (021)",2044,303,849,90,812
"Hombres (022)",1295,198,485,66,553
"Mujeres (023)",749,105,364,24,259
"Ocupada (024)",1953,288,836,88,751
"Hombres (025)",1236,188,480,64,511
"Mujeres (026)",717,100,356,24,240
"Desocupada (027)",91,15,13,2,61
"Hombres (028)",59,10,5,2,42
"Mujeres (029)",32,5,8,,19
"No PEA (030)",3367,1051,1019,63,1237
"Hombres (031)",1325,412,433,29,452
"Mujeres (032)",2042,639,586,34,785
,,,,,
"RURAL (036)",18587,10770,696,116,7012
"Hombres (037)",8878,4972,347,57,3508
"Mujeres (038)",9709,5798,349,59,3504
"PEA (039)",4200,1768,244,33,2159
"Hombres (040)",3592,1484,177,27,1908
"Mujeres (041)",608,284,67,6,251
"Ocupada (042)",3938,1638,238,33,2033
"Hombres (043)",3387,1379,172,27,1813
"Mujeres (044)",551,259,66,6,220
"Desocupada (045)",262,130,6,,126
"Hombres (046)",205,105,5,,95
"Mujeres (047)",57,25,1,,31
"No PEA (048)",14387,9002,452,83,4853
"Hombres (049)",5286,3488,170,30,1600
"Mujeres (050)",9101,5514,282,53,3253
