"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia QUISPICANCHI (000)",20320,107,323,775,1776,3729,7665,5945
"De 12 a 14 años (001)",39,,,,,,1,38
"De 15 a 19 años (002)",577,,,,,,314,263
"De 20 a 24 años (003)",2325,,,,,2,1293,1030
"De 25 a 29 años (004)",2682,,,,,79,1780,823
"De 30 a 34 años (005)",2435,,,,,349,1575,511
"De 35 a 39 años (006)",2413,,,,24,673,1308,408
"De 40 a 44 años (007)",2029,,,,77,726,872,354
"De 45 a 49 años (008)",1716,,,1,188,779,435,313
"De 50 y más años (009)",6104,107,323,774,1487,1121,87,2205
"PEA (010)",7157,12,50,215,603,1502,2703,2072
"De 12 a 14 años (011)",5,,,,,,,5
"De 15 a 19 años (012)",166,,,,,,82,84
"De 20 a 24 años (013)",821,,,,,2,417,402
"De 25 a 29 años (014)",996,,,,,32,615,349
"De 30 a 34 años (015)",948,,,,,146,575,227
"De 35 a 39 años (016)",965,,,,10,280,490,185
"De 40 a 44 años (017)",825,,,,31,318,333,143
"De 45 a 49 años (018)",671,,,1,82,319,155,114
"De 50 y más años (019)",1760,12,50,214,480,405,36,563
"Ocupada (020)",7016,12,50,215,599,1486,2647,2007
"De 12 a 14 años (021)",5,,,,,,,5
"De 15 a 19 años (022)",157,,,,,,78,79
"De 20 a 24 años (023)",785,,,,,2,401,382
"De 25 a 29 años (024)",964,,,,,30,600,334
"De 30 a 34 años (025)",925,,,,,144,563,218
"De 35 a 39 años (026)",957,,,,10,278,486,183
"De 40 a 44 años (027)",816,,,,31,313,331,141
"De 45 a 49 años (028)",663,,,1,82,315,153,112
"De 50 y más años (029)",1744,12,50,214,476,404,35,553
"Desocupada (030)",141,,,,4,16,56,65
"De 15 a 19 años (032)",9,,,,,,4,5
"De 20 a 24 años (033)",36,,,,,,16,20
"De 25 a 29 años (034)",32,,,,,2,15,15
"De 30 a 34 años (035)",23,,,,,2,12,9
"De 35 a 39 años (036)",8,,,,,2,4,2
"De 40 a 44 años (037)",9,,,,,5,2,2
"De 45 a 49 años (038)",8,,,,,4,2,2
"De 50 y más años (039)",16,,,,4,1,1,10
"No PEA (040)",13163,95,273,560,1173,2227,4962,3873
"De 12 a 14 años (041)",34,,,,,,1,33
"De 15 a 19 años (042)",411,,,,,,232,179
"De 20 a 24 años (043)",1504,,,,,,876,628
"De 25 a 29 años (044)",1686,,,,,47,1165,474
"De 30 a 34 años (045)",1487,,,,,203,1000,284
"De 35 a 39 años (046)",1448,,,,14,393,818,223
"De 40 a 44 años (047)",1204,,,,46,408,539,211
