"CUADRO Nº 1: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON EL QUE APRENDIÓ A HABLAR",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 14 AÑOS","15 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia BARRANCA (000)",126520,4938,25570,25194,20803,17343,12840,9374,10458
"Quechua (001)",4146,8,89,157,534,969,786,643,960
"Aymara (002)",134,3,3,3,18,55,32,10,10
"Ashaninca (003)",21,,5,13,,2,,1,
"Otra lengua nativa (004)",29,,8,15,1,,1,1,3
"Castellano (005)",121929,4923,25439,24937,20197,16280,11993,8701,9459
"Idioma extranjero (006)",5,1,4,,,,,,
"Es sordomudo/a (007)",256,3,22,69,53,37,28,18,26
"Hombres (009)",63468,2466,12970,12775,10317,8457,6339,4703,5441
"Quechua (010)",2327,3,50,108,319,585,456,335,471
"Aymara (011)",93,1,,,15,37,25,6,9
"Ashaninca (012)",17,,4,13,,,,,
"Otra lengua nativa (013)",7,,7,,,,,,
"Castellano (014)",60876,2459,12892,12602,9951,7814,5848,4356,4954
"Idioma extranjero (015)",2,,2,,,,,,
"Es sordomudo/a (016)",146,3,15,52,32,21,10,6,7
"Mujeres (018)",63052,2472,12600,12419,10486,8886,6501,4671,5017
"Quechua (019)",1819,5,39,49,215,384,330,308,489
"Aymara (020)",41,2,3,3,3,18,7,4,1
"Ashaninca (021)",4,,1,,,2,,1,
"Otra lengua nativa (022)",22,,1,15,1,,1,1,3
"Castellano (023)",61053,2464,12547,12335,10246,8466,6145,4345,4505
"Idioma extranjero (024)",3,1,2,,,,,,
"Es sordomudo/a (025)",110,,7,17,21,16,18,12,19
,,,,,,,,,
"URBANA (027)",108118,4152,21705,21364,17623,15029,11070,8138,9037
"Quechua (028)",3032,3,53,111,376,709,576,484,720
"Aymara (029)",132,3,2,3,18,55,32,10,9
"Ashaninca (030)",21,,5,13,,2,,1,
"Otra lengua nativa (031)",18,,,12,1,,1,1,3
"Castellano (032)",104718,4142,21621,21162,17191,14241,10443,7634,8284
"Idioma extranjero (033)",5,1,4,,,,,,
"Es sordomudo/a (034)",192,3,20,63,37,22,18,8,21
"Hombres (036)",53764,2083,10938,10746,8605,7251,5444,4022,4675
"Quechua (037)",1643,2,34,76,208,425,323,239,336
"Aymara (038)",92,1,,,15,37,25,6,8
"Ashaninca (039)",17,,4,13,,,,,
"Castellano (041)",51899,2077,10885,10609,8363,6777,5089,3774,4325
"Idioma extranjero (042)",2,,2,,,,,,
"Es sordomudo/a (043)",111,3,13,48,19,12,7,3,6
"Mujeres (045)",54354,2069,10767,10618,9018,7778,5626,4116,4362
"Quechua (046)",1389,1,19,35,168,284,253,245,384
"Aymara (047)",40,2,2,3,3,18,7,4,1
"Ashaninca (048)",4,,1,,,2,,1,
"Otra lengua nativa (049)",18,,,12,1,,1,1,3
"Castellano (050)",52819,2065,10736,10553,8828,7464,5354,3860,3959
"Idioma extranjero (051)",3,1,2,,,,,,
"Es sordomudo/a (052)",81,,7,15,18,10,11,5,15
,,,,,,,,,
"RURAL (054)",18402,786,3865,3830,3180,2314,1770,1236,1421
"Quechua (055)",1114,5,36,46,158,260,210,159,240
"Aymara (056)",2,,1,,,,,,1
"Otra lengua nativa (058)",11,,8,3,,,,,
"Castellano (059)",17211,781,3818,3775,3006,2039,1550,1067,1175
"Es sordomudo/a (061)",64,,2,6,16,15,10,10,5
"Hombres (063)",9704,383,2032,2029,1712,1206,895,681,766
"Quechua (064)",684,1,16,32,111,160,133,96,135
"Aymara (065)",1,,,,,,,,1
"Otra lengua nativa (067)",7,,7,,,,,,
"Castellano (068)",8977,382,2007,1993,1588,1037,759,582,629
"Es sordomudo/a (070)",35,,2,4,13,9,3,3,1
"Mujeres (072)",8698,403,1833,1801,1468,1108,875,555,655
"Quechua (073)",430,4,20,14,47,100,77,63,105
"Aymara (074)",1,,1,,,,,,
"Otra lengua nativa (076)",4,,1,3,,,,,
"Castellano (077)",8234,399,1811,1782,1418,1002,791,485,546
"Es sordomudo/a (079)",29,,,2,3,6,7,7,4
