"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia CAJAMARCA (000)",198237,191879,6358
"Hombres (001)",96143,93908,2235
"Mujeres (002)",102094,97971,4123
"De 18 a 29 años (003)",75414,72584,2830
"Hombres (004)",36987,35664,1323
"Mujeres (005)",38427,36920,1507
"De 30 a 44 años (006)",63134,62400,734
"Hombres (007)",31129,30861,268
"Mujeres (008)",32005,31539,466
"De 45 a 64 años (009)",42264,41282,982
"Hombres (010)",20337,20083,254
"Mujeres (011)",21927,21199,728
"De 65 y más años (012)",17425,15613,1812
"Hombres (013)",7690,7300,390
"Mujeres (014)",9735,8313,1422
,,,
"URBANA (015)",115444,112630,2814
"Hombres (016)",55267,54276,991
"Mujeres (017)",60177,58354,1823
"De 18 a 29 años (018)",45047,43483,1564
"Hombres (019)",21803,21105,698
"Mujeres (020)",23244,22378,866
"De 30 a 44 años (021)",37650,37330,320
"Hombres (022)",18234,18129,105
"Mujeres (023)",19416,19201,215
"De 45 a 64 años (024)",24199,23868,331
"Hombres (025)",11590,11512,78
"Mujeres (026)",12609,12356,253
"De 65 y más años (027)",8548,7949,599
"Hombres (028)",3640,3530,110
"Mujeres (029)",4908,4419,489
,,,
"RURAL (030)",82793,79249,3544
"Hombres (031)",40876,39632,1244
"Mujeres (032)",41917,39617,2300
"De 18 a 29 años (033)",30367,29101,1266
"Hombres (034)",15184,14559,625
"Mujeres (035)",15183,14542,641
"De 30 a 44 años (036)",25484,25070,414
"Hombres (037)",12895,12732,163
"Mujeres (038)",12589,12338,251
"De 45 a 64 años (039)",18065,17414,651
"Hombres (040)",8747,8571,176
"Mujeres (041)",9318,8843,475
"De 65 y más años (042)",8877,7664,1213
"Hombres (043)",4050,3770,280
"Mujeres (044)",4827,3894,933
