"CUADRO Nº 13: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL; Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia CHACHAPOYAS (000)",13590,172,5066,4672,1636,581,252,80,11,,1120
"Sin Nivel (001)",1697,43,678,548,156,61,33,18,1,,159
"Educación Inicial (002)",15,,8,3,1,1,,,,,2
"Primaria (003)",6395,96,2937,2139,512,197,95,39,6,,374
"Secundaria (004)",2675,26,1046,939,309,82,39,9,2,,223
"Sup. no Univ. Incompleta (005)",417,2,107,168,56,21,7,,,,56
"Sup. no Univ. Completa (006)",1523,4,213,576,381,128,47,7,2,,165
"Sup. Univ. Incompleta (007)",279,,45,111,51,13,5,1,,,53
"Sup. Univ. Completa (008)",589,1,32,188,170,78,26,6,,,88
,,,,,,,,,,,
"URBANA (010)",9558,92,3140,3335,1316,483,219,66,10,,897
"Sin Nivel (011)",822,18,306,255,74,30,21,14,,,104
"Educación Inicial (012)",7,,3,3,,,,,,,1
"Primaria (013)",3856,46,1624,1309,356,153,77,29,6,,256
"Secundaria (014)",2218,21,834,780,268,76,38,9,2,,190
"Sup. no Univ. Incompleta (015)",378,2,97,152,47,18,6,,,,56
"Sup. no Univ. Completa (016)",1437,4,201,549,355,118,47,7,2,,154
"Sup. Univ. Incompleta (017)",264,,44,104,48,13,4,1,,,50
"Sup. Univ. Completa (018)",576,1,31,183,168,75,26,6,,,86
,,,,,,,,,,,
"RURAL (020)",4032,80,1926,1337,320,98,33,14,1,,223
"Sin Nivel (021)",875,25,372,293,82,31,12,4,1,,55
"Educación Inicial (022)",8,,5,,1,1,,,,,1
"Primaria (023)",2539,50,1313,830,156,44,18,10,,,118
"Secundaria (024)",457,5,212,159,41,6,1,,,,33
"Sup. no Univ. Incompleta (025)",39,,10,16,9,3,1,,,,
"Sup. no Univ. Completa (026)",86,,12,27,26,10,,,,,11
"Sup. Univ. Incompleta (027)",15,,1,7,3,,1,,,,3
"Sup. Univ. Completa (028)",13,,1,5,2,3,,,,,2
