"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia HUANTA (000)",1330,405,925
"De 14 a 29 años (001)",733,295,438
"De 30 a 44 años (002)",392,86,306
"De 45 a 64 años (003)",162,24,138
"De 65 y más años (004)",43,,43
"Hombres (005)",935,274,661
"De 14 a 29 años (006)",492,197,295
"De 30 a 44 años (007)",283,61,222
"De 45 a 64 años (008)",131,16,115
"De 65 y más años (009)",29,,29
"Mujeres (010)",395,131,264
"De 14 a 29 años (011)",241,98,143
"De 30 a 44 años (012)",109,25,84
"De 45 a 64 años (013)",31,8,23
"De 65 y más años (014)",14,,14
,,,
"AREA URBANA (015)",802,257,545
"De 14 a 29 años (016)",438,179,259
"De 30 a 44 años (017)",251,58,193
"De 45 a 64 años (018)",97,20,77
"De 65 y más años (019)",16,,16
"Hombres (020)",519,160,359
"De 14 a 29 años (021)",278,111,167
"De 30 a 44 años (022)",163,37,126
"De 45 a 64 años (023)",72,12,60
"De 65 y más años (024)",6,,6
"Mujeres (025)",283,97,186
"De 14 a 29 años (026)",160,68,92
"De 30 a 44 años (027)",88,21,67
"De 45 a 64 años (028)",25,8,17
"De 65 y más años (029)",10,,10
,,,
"AREA RURAL (030)",528,148,380
"De 14 a 29 años (031)",295,116,179
"De 30 a 44 años (032)",141,28,113
"De 45 a 64 años (033)",65,4,61
"De 65 y más años (034)",27,,27
"Hombres (035)",416,114,302
"De 14 a 29 años (036)",214,86,128
"De 30 a 44 años (037)",120,24,96
"De 45 a 64 años (038)",59,4,55
"De 65 y más años (039)",23,,23
"Mujeres (040)",112,34,78
"De 14 a 29 años (041)",81,30,51
"De 30 a 44 años (042)",21,4,17
"De 45 a 64 años (043)",6,,6
"De 65 y más años (044)",4,,4
