"CUADRO Nº 1: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RELIGIÓN QUE PROFESA",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia SANTA (000)",310649,40971,58721,63567,55428,38509,53453
"Católica (001)",230462,30118,42979,46801,41658,29225,39681
"Cristiana/Evangélica (002)",53244,6895,9191,10385,9358,6793,10622
"Otra (003)",11367,1455,2099,2330,1979,1371,2133
"Ninguna (004)",15576,2503,4452,4051,2433,1120,1017
"Hombres (006)",154048,20699,29653,31169,27024,18355,27148
"Católica (007)",115788,15331,21798,23051,20495,14210,20903
"Cristiana/Evangélica (008)",23914,3285,4368,4684,4129,2885,4563
"Otra (009)",5286,717,1021,1075,903,554,1016
"Ninguna (010)",9060,1366,2466,2359,1497,706,666
"Mujeres (012)",156601,20272,29068,32398,28404,20154,26305
"Católica (013)",114674,14787,21181,23750,21163,15015,18778
"Cristiana/Evangélica (014)",29330,3610,4823,5701,5229,3908,6059
"Otra (015)",6081,738,1078,1255,1076,817,1117
"Ninguna (016)",6516,1137,1986,1692,936,414,351
,,,,,,,
"URBANA (018)",291315,37858,55077,59927,52378,36201,49874
"Católica (019)",215537,27648,40163,43984,39278,27430,37034
"Cristiana/Evangélica (020)",50139,6491,8694,9848,8867,6397,9842
"Otra (021)",11037,1416,2037,2266,1932,1319,2067
"Ninguna (022)",14602,2303,4183,3829,2301,1055,931
"Hombres (024)",143641,19065,27639,29218,25381,17087,25251
"Católica (025)",107590,14006,20203,21510,19202,13205,19464
"Cristiana/Evangélica (026)",22440,3102,4127,4431,3889,2695,4196
"Otra (027)",5118,701,991,1046,877,527,976
"Ninguna (028)",8493,1256,2318,2231,1413,660,615
"Mujeres (030)",147674,18793,27438,30709,26997,19114,24623
"Católica (031)",107947,13642,19960,22474,20076,14225,17570
"Cristiana/Evangélica (032)",27699,3389,4567,5417,4978,3702,5646
"Otra (033)",5919,715,1046,1220,1055,792,1091
"Ninguna (034)",6109,1047,1865,1598,888,395,316
,,,,,,,
"RURAL (036)",19334,3113,3644,3640,3050,2308,3579
"Católica (037)",14925,2470,2816,2817,2380,1795,2647
"Cristiana/Evangélica (038)",3105,404,497,537,491,396,780
"Otra (039)",330,39,62,64,47,52,66
"Ninguna (040)",974,200,269,222,132,65,86
"Hombres (042)",10407,1634,2014,1951,1643,1268,1897
"Católica (043)",8198,1325,1595,1541,1293,1005,1439
"Cristiana/Evangélica (044)",1474,183,241,253,240,190,367
"Otra (045)",168,16,30,29,26,27,40
"Ninguna (046)",567,110,148,128,84,46,51
"Mujeres (048)",8927,1479,1630,1689,1407,1040,1682
"Católica (049)",6727,1145,1221,1276,1087,790,1208
"Cristiana/Evangélica (050)",1631,221,256,284,251,206,413
"Otra (051)",162,23,32,35,21,25,26
"Ninguna (052)",407,90,121,94,48,19,35
