"CUADRO Nº 2: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO E IDIOMA O LENGUA CON LA QUE APRENDIÓ A HABLAR",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUAROCHIRI (000)",68838,5642,1762,21627,26178,3753,3445,2511,3920
"Quechua (001)",1157,104,3,265,438,80,83,41,143
"Aymara (002)",15,5,5,5,,,,,
"Ashaninca (003)",15,1,,2,4,1,3,,4
"Otra lengua nativa (004)",66,4,1,31,23,3,,,4
"Castellano (005)",67429,5501,1750,21290,25663,3661,3342,2465,3757
"Es sordomudo/a (007)",156,27,3,34,50,8,17,5,12
"Hombres (009)",36420,2240,869,10353,15319,2139,1865,1488,2147
"Quechua (010)",723,23,1,111,318,66,66,32,106
"Aymara (011)",7,3,2,2,,,,,
"Otra lengua nativa (013)",30,3,1,9,14,1,,,2
"Castellano (014)",35581,2201,864,10219,14958,2064,1792,1451,2032
"Es sordomudo/a (016)",79,10,1,12,29,8,7,5,7
"Mujeres (018)",32418,3402,893,11274,10859,1614,1580,1023,1773
"Quechua (019)",434,81,2,154,120,14,17,9,37
"Aymara (020)",8,2,3,3,,,,,
"Ashaninca (021)",15,1,,2,4,1,3,,4
"Otra lengua nativa (022)",36,1,,22,9,2,,,2
"Castellano (023)",31848,3300,886,11071,10705,1597,1550,1014,1725
"Es sordomudo/a (025)",77,17,2,22,21,,10,,5
,,,,,,,,,
"URBANA (027)",46700,3641,1175,13357,17830,2772,2685,2021,3219
"Quechua (028)",819,78,3,180,287,53,59,36,123
"Aymara (029)",7,2,2,3,,,,,
"Ashaninca (030)",15,1,,2,4,1,3,,4
"Otra lengua nativa (031)",59,3,1,28,20,3,,,4
"Castellano (032)",45683,3538,1167,13125,17478,2711,2607,1980,3077
"Es sordomudo/a (034)",117,19,2,19,41,4,16,5,11
"Hombres (036)",23850,1440,589,6146,9892,1526,1392,1172,1693
"Quechua (037)",491,19,1,71,195,41,48,27,89
"Aymara (038)",5,1,2,2,,,,,
"Otra lengua nativa (040)",29,2,1,9,14,1,,,2
"Castellano (041)",23269,1411,585,6060,9659,1480,1338,1140,1596
"Es sordomudo/a (043)",56,7,,4,24,4,6,5,6
"Mujeres (045)",22850,2201,586,7211,7938,1246,1293,849,1526
"Quechua (046)",328,59,2,109,92,12,11,9,34
"Aymara (047)",2,1,,1,,,,,
"Ashaninca (048)",15,1,,2,4,1,3,,4
"Otra lengua nativa (049)",30,1,,19,6,2,,,2
"Castellano (050)",22414,2127,582,7065,7819,1231,1269,840,1481
"Es sordomudo/a (052)",61,12,2,15,17,,10,,5
,,,,,,,,,
"RURAL (054)",22138,2001,587,8270,8348,981,760,490,701
"Quechua (055)",338,26,,85,151,27,24,5,20
"Aymara (056)",8,3,3,2,,,,,
"Otra lengua nativa (058)",7,1,,3,3,,,,
"Castellano (059)",21746,1963,583,8165,8185,950,735,485,680
"Es sordomudo/a (061)",39,8,1,15,9,4,1,,1
"Hombres (063)",12570,800,280,4207,5427,613,473,316,454
"Quechua (064)",232,4,,40,123,25,18,5,17
"Aymara (065)",2,2,,,,,,,
"Otra lengua nativa (067)",1,1,,,,,,,
"Castellano (068)",12312,790,279,4159,5299,584,454,311,436
"Es sordomudo/a (070)",23,3,1,8,5,4,1,,1
"Mujeres (072)",9568,1201,307,4063,2921,368,287,174,247
"Quechua (073)",106,22,,45,28,2,6,,3
"Aymara (074)",6,1,3,2,,,,,
"Otra lengua nativa (076)",6,,,3,3,,,,
"Castellano (077)",9434,1173,304,4006,2886,366,281,174,244
"Es sordomudo/a (079)",16,5,,7,4,,,,
