"CUADRO Nº 6: POBLACIÓN DE 18 Y MÁS AÑOS DE EDAD, POR TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI), SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)",
,,"TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)","NO TIENE DOCUMENTO NACIONAL DE IDENTIDAD (DNI)"
,,,
"Provincia HUANUCO (000)",159338,152720,6618
"Hombres (001)",76526,73572,2954
"Mujeres (002)",82812,79148,3664
"De 18 a 29 años (003)",58560,55663,2897
"Hombres (004)",28666,27065,1601
"Mujeres (005)",29894,28598,1296
"De 30 a 44 años (006)",49332,48368,964
"Hombres (007)",23330,22896,434
"Mujeres (008)",26002,25472,530
"De 45 a 64 años (009)",36593,35564,1029
"Hombres (010)",17538,17144,394
"Mujeres (011)",19055,18420,635
"De 65 y más años (012)",14853,13125,1728
"Hombres (013)",6992,6467,525
"Mujeres (014)",7861,6658,1203
,,,
"URBANA (015)",101734,99121,2613
"Hombres (016)",47647,46569,1078
"Mujeres (017)",54087,52552,1535
"De 18 a 29 años (018)",38086,36654,1432
"Hombres (019)",18272,17517,755
"Mujeres (020)",19814,19137,677
"De 30 a 44 años (021)",31473,31169,304
"Hombres (022)",14464,14354,110
"Mujeres (023)",17009,16815,194
"De 45 a 64 años (024)",23214,22951,263
"Hombres (025)",10812,10727,85
"Mujeres (026)",12402,12224,178
"De 65 y más años (027)",8961,8347,614
"Hombres (028)",4099,3971,128
"Mujeres (029)",4862,4376,486
,,,
"RURAL (030)",57604,53599,4005
"Hombres (031)",28879,27003,1876
"Mujeres (032)",28725,26596,2129
"De 18 a 29 años (033)",20474,19009,1465
"Hombres (034)",10394,9548,846
"Mujeres (035)",10080,9461,619
"De 30 a 44 años (036)",17859,17199,660
"Hombres (037)",8866,8542,324
"Mujeres (038)",8993,8657,336
"De 45 a 64 años (039)",13379,12613,766
"Hombres (040)",6726,6417,309
"Mujeres (041)",6653,6196,457
"De 65 y más años (042)",5892,4778,1114
"Hombres (043)",2893,2496,397
"Mujeres (044)",2999,2282,717
