"CUADRO Nº 36: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia ANGARAES (000)",1151,237,914
"De 14 a 29 años (001)",518,179,339
"De 30 a 44 años (002)",359,49,310
"De 45 a 64 años (003)",218,9,209
"De 65 y más años (004)",56,,56
"Hombres (005)",940,180,760
"De 14 a 29 años (006)",393,129,264
"De 30 a 44 años (007)",297,43,254
"De 45 a 64 años (008)",196,8,188
"De 65 y más años (009)",54,,54
"Mujeres (010)",211,57,154
"De 14 a 29 años (011)",125,50,75
"De 30 a 44 años (012)",62,6,56
"De 45 a 64 años (013)",22,1,21
"De 65 y más años (014)",2,,2
,,,
"AREA URBANA (015)",291,71,220
"De 14 a 29 años (016)",128,52,76
"De 30 a 44 años (017)",110,17,93
"De 45 a 64 años (018)",47,2,45
"De 65 y más años (019)",6,,6
"Hombres (020)",169,48,121
"De 14 a 29 años (021)",72,31,41
"De 30 a 44 años (022)",64,15,49
"De 45 a 64 años (023)",29,2,27
"De 65 y más años (024)",4,,4
"Mujeres (025)",122,23,99
"De 14 a 29 años (026)",56,21,35
"De 30 a 44 años (027)",46,2,44
"De 45 a 64 años (028)",18,,18
"De 65 y más años (029)",2,,2
,,,
"AREA RURAL (030)",860,166,694
"De 14 a 29 años (031)",390,127,263
"De 30 a 44 años (032)",249,32,217
"De 45 a 64 años (033)",171,7,164
"De 65 y más años (034)",50,,50
"Hombres (035)",771,132,639
"De 14 a 29 años (036)",321,98,223
"De 30 a 44 años (037)",233,28,205
"De 45 a 64 años (038)",167,6,161
"De 65 y más años (039)",50,,50
"Mujeres (040)",89,34,55
"De 14 a 29 años (041)",69,29,40
"De 30 a 44 años (042)",16,4,12
"De 45 a 64 años (043)",4,1,3
