"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia JUNIN (000)",8257,65,2564,2914,1076,382,186,67,10,,993
"Catolica (001)",6817,58,2086,2394,911,310,157,58,7,,836
"Cristiana / Evangelica (002)",1335,7,443,481,149,67,28,9,3,,148
"Otra (003)",64,,23,23,10,3,,,,,5
"Ninguna (004)",41,,12,16,6,2,1,,,,4
,,,,,,,,,,,
"URBANA (006)",5901,43,1720,2104,789,297,136,55,7,,750
"Catolica (007)",4961,41,1426,1770,677,247,113,49,4,,634
"Cristiana / Evangelica (008)",849,2,265,302,97,45,22,6,3,,107
"Otra (009)",57,,20,19,10,3,,,,,5
"Ninguna (010)",34,,9,13,5,2,1,,,,4
,,,,,,,,,,,
"RURAL (012)",2356,22,844,810,287,85,50,12,3,,243
"Catolica (013)",1856,17,660,624,234,63,44,9,3,,202
"Cristiana / Evangelica (014)",486,5,178,179,52,22,6,3,,,41
"Otra (015)",7,,3,4,,,,,,,
"Ninguna (016)",7,,3,3,1,,,,,,
