"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia LAMAS (000)",57020,9840,11349,11682,9560,6488,8101
"Conviviente (001)",19045,481,4190,6427,4238,2133,1576
"Separado(a) (002)",1046,16,108,211,247,225,239
"Casado(a) (003)",15556,37,893,2794,3996,3360,4476
"Viudo(a) (004)",1758,2,18,43,110,244,1341
"Divorciado(a) (005)",100,,6,12,24,19,39
"Soltero(a) (006)",19515,9304,6134,2195,945,507,430
"Hombres (008)",30359,5247,6027,6296,5179,3519,4091
"Conviviente (009)",9417,84,1479,3366,2383,1208,897
"Separado(a) (010)",427,3,18,78,106,117,105
"Casado(a) (011)",7749,9,258,1211,1987,1767,2517
"Viudo(a) (012)",458,,5,14,26,62,351
"Divorciado(a) (013)",47,,5,5,11,10,16
"Soltero(a) (014)",12261,5151,4262,1622,666,355,205
"Mujeres (016)",26661,4593,5322,5386,4381,2969,4010
"Conviviente (017)",9628,397,2711,3061,1855,925,679
"Separado(a) (018)",619,13,90,133,141,108,134
"Casado(a) (019)",7807,28,635,1583,2009,1593,1959
"Viudo(a) (020)",1300,2,13,29,84,182,990
"Divorciado(a) (021)",53,,1,7,13,9,23
"Soltero(a) (022)",7254,4153,1872,573,279,152,225
,,,,,,,
"URBANA (024)",28728,4833,5186,5428,5034,3510,4737
"Conviviente (025)",8708,178,1568,2877,2152,1083,850
"Separado(a) (026)",599,12,51,118,138,140,140
"Casado(a) (027)",8169,17,317,1192,2138,1854,2651
"Viudo(a) (028)",976,1,6,15,59,115,780
"Divorciado(a) (029)",57,,1,5,14,14,23
"Soltero(a) (030)",10219,4625,3243,1221,533,304,293
"Hombres (032)",14789,2488,2692,2785,2643,1878,2303
"Conviviente (033)",4234,43,496,1429,1190,612,464
"Separado(a) (034)",225,2,7,40,55,70,51
"Casado(a) (035)",4032,8,93,475,1040,956,1460
"Viudo(a) (036)",239,,2,5,13,28,191
"Divorciado(a) (037)",24,,,2,6,7,9
"Soltero(a) (038)",6035,2435,2094,834,339,205,128
"Mujeres (040)",13939,2345,2494,2643,2391,1632,2434
"Conviviente (041)",4474,135,1072,1448,962,471,386
"Separado(a) (042)",374,10,44,78,83,70,89
"Casado(a) (043)",4137,9,224,717,1098,898,1191
"Viudo(a) (044)",737,1,4,10,46,87,589
"Divorciado(a) (045)",33,,1,3,8,7,14
"Soltero(a) (046)",4184,2190,1149,387,194,99,165
,,,,,,,
"RURAL (048)",28292,5007,6163,6254,4526,2978,3364
"Conviviente (049)",10337,303,2622,3550,2086,1050,726
"Separado(a) (050)",447,4,57,93,109,85,99
"Casado(a) (051)",7387,20,576,1602,1858,1506,1825
"Viudo(a) (052)",782,1,12,28,51,129,561
"Divorciado(a) (053)",43,,5,7,10,5,16
"Soltero(a) (054)",9296,4679,2891,974,412,203,137
"Hombres (056)",15570,2759,3335,3511,2536,1641,1788
"Conviviente (057)",5183,41,983,1937,1193,596,433
"Separado(a) (058)",202,1,11,38,51,47,54
"Casado(a) (059)",3717,1,165,736,947,811,1057
"Viudo(a) (060)",219,,3,9,13,34,160
"Divorciado(a) (061)",23,,5,3,5,3,7
"Soltero(a) (062)",6226,2716,2168,788,327,150,77
"Mujeres (064)",12722,2248,2828,2743,1990,1337,1576
"Conviviente (065)",5154,262,1639,1613,893,454,293
"Separado(a) (066)",245,3,46,55,58,38,45
"Casado(a) (067)",3670,19,411,866,911,695,768
"Viudo(a) (068)",563,1,9,19,38,95,401
"Divorciado(a) (069)",20,,,4,5,2,9
"Soltero(a) (070)",3070,1963,723,186,85,53,60
