"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGION QUE PROFESA",TOTAL,"NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,"NO ESPECI- FICADO"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A MÁS",
,,,,,,,,,,
"Provincia ASUNCION (000)",3467,3349,916,329,372,314,571,385,462,118
"Católica (001)",3179,3067,839,303,353,282,523,350,417,112
"Cristiana/Evangélica (002)",279,273,74,23,18,32,46,35,45,6
"Otra (003)",4,4,1,,1,,2,,,
"Ninguna (004)",5,5,2,3,,,,,,
,,,,,,,,,,
"URBANA (006)",803,766,191,97,137,120,114,55,52,37
"Católica (007)",752,717,178,91,132,115,106,49,46,35
"Cristiana/Evangélica (008)",46,44,11,4,4,5,8,6,6,2
"Otra (009)",2,2,1,,1,,,,,
"Ninguna (010)",3,3,1,2,,,,,,
,,,,,,,,,,
"RURAL (012)",2664,2583,725,232,235,194,457,330,410,81
"Católica (013)",2427,2350,661,212,221,167,417,301,371,77
"Cristiana/Evangélica (014)",233,229,63,19,14,27,38,29,39,4
"Otra (015)",2,2,,,,,2,,,
"Ninguna (016)",2,2,1,1,,,,,,
