"CUADRO Nº 15: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO(A) NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, Y RELIGIÓN QUE PROFESA",,,,,,,,,,,
,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL Y RELIGIÓN QUE PROFESA",TOTAL,"EDAD QUE TENÍA CUANDO NACIÓ SU PRIMER HIJO",,,,,,,,,"NO ESPECIFICADO"
,,"DE 12 A 14 AÑOS","DE 15 A 19 AÑOS","DE 20 A 24 AÑOS","DE 25 A 29 AÑOS","DE 30 A 34 AÑOS","DE 35 A 39 AÑOS","DE 40 A 44 AÑOS","DE 45 A 49 AÑOS","DE 50 A MÁS AÑOS",
,,,,,,,,,,,
"Provincia AMBO (000)",13643,180,5705,4657,1239,441,194,72,14,,1141
"Catolica (001)",10114,130,4183,3424,931,345,136,45,7,,913
"Cristiana / Evangelica (002)",3354,49,1460,1171,286,90,57,25,6,,210
"Otra (003)",85,,29,29,16,4,1,1,,,5
"Ninguna (004)",90,1,33,33,6,2,,1,1,,13
,,,,,,,,,,,
"URBANA (006)",4760,58,1792,1644,525,187,95,36,8,,415
"Catolica (007)",3414,43,1246,1149,402,150,75,24,4,,321
"Cristiana / Evangelica (008)",1227,14,510,446,105,35,19,11,4,,83
"Otra (009)",56,,14,25,12,1,1,,,,3
"Ninguna (010)",63,1,22,24,6,1,,1,,,8
,,,,,,,,,,,
"RURAL (012)",8883,122,3913,3013,714,254,99,36,6,,726
"Catolica (013)",6700,87,2937,2275,529,195,61,21,3,,592
"Cristiana / Evangelica (014)",2127,35,950,725,181,55,38,14,2,,127
"Otra (015)",29,,15,4,4,3,,1,,,2
"Ninguna (016)",27,,11,9,,1,,,1,,5
