"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia TRUJILLO (000)",396275,198799,18325,3977,156115,6285,476,912,231,11155
"Hombres (001)",142994,98029,10601,1858,22934,2740,308,526,227,5771
"Mujeres (002)",253281,100770,7724,2119,133181,3545,168,386,4,5384
"De 06 a 14 años (003)",131899,125312,,,3652,1345,6,81,,1503
"Hombres (004)",66328,63180,,,1644,718,5,45,,736
"Mujeres (005)",65571,62132,,,2008,627,1,36,,767
"De 15 a 29 años (006)",121568,71268,278,665,45057,,182,228,231,3659
"Hombres (007)",44224,33920,96,294,7492,,115,143,227,1937
"Mujeres (008)",77344,37348,182,371,37565,,67,85,4,1722
"De 30 a 44 años (009)",49229,1742,432,732,44027,,145,184,,1967
"Hombres (010)",6491,741,155,300,4056,,95,108,,1036
"Mujeres (011)",42738,1001,277,432,39971,,50,76,,931
"De 45 a 64 años (012)",51239,409,5681,1260,41606,68,126,188,,1901
"Hombres (013)",9741,157,2784,561,4949,42,84,126,,1038
"Mujeres (014)",41498,252,2897,699,36657,26,42,62,,863
"De 65 y más años (015)",42340,68,11934,1320,21773,4872,17,231,,2125
"Hombres (016)",16210,31,7566,703,4793,1980,9,104,,1024
"Mujeres (017)",26130,37,4368,617,16980,2892,8,127,,1101
,,,,,,,,,,
"AREA URBANA (018)",386520,194176,18143,3910,151668,6177,476,884,114,10972
"Hombres (019)",139936,95719,10474,1815,22647,2692,308,507,110,5664
"Mujeres (020)",246584,98457,7669,2095,129021,3485,168,377,4,5308
"De 06 a 14 años (021)",128219,121829,,,3551,1304,6,79,,1450
"Hombres (022)",64487,61407,,,1620,696,5,44,,715
"Mujeres (023)",63732,60422,,,1931,608,1,35,,735
"De 15 a 29 años (024)",118794,70153,276,657,43581,,182,217,114,3614
"Hombres (025)",43440,33391,95,288,7397,,115,134,110,1910
"Mujeres (026)",75354,36762,181,369,36184,,67,83,4,1704
"De 30 a 44 años (027)",47782,1724,427,721,42644,,145,180,,1941
"Hombres (028)",6394,733,153,292,4000,,95,106,,1015
"Mujeres (029)",41388,991,274,429,38644,,50,74,,926
"De 45 a 64 años (030)",50154,403,5633,1241,40622,68,126,184,,1877
"Hombres (031)",9648,157,2753,550,4916,42,84,124,,1022
"Mujeres (032)",40506,246,2880,691,35706,26,42,60,,855
"De 65 y más años (033)",41571,67,11807,1291,21270,4805,17,224,,2090
"Hombres (034)",15967,31,7473,685,4714,1954,9,99,,1002
"Mujeres (035)",25604,36,4334,606,16556,2851,8,125,,1088
,,,,,,,,,,
"AREA RURAL (036)",9755,4623,182,67,4447,108,,28,117,183
"Hombres (037)",3058,2310,127,43,287,48,,19,117,107
"Mujeres (038)",6697,2313,55,24,4160,60,,9,,76
"De 06 a 14 años (039)",3680,3483,,,101,41,,2,,53
"Hombres (040)",1841,1773,,,24,22,,1,,21
"Mujeres (041)",1839,1710,,,77,19,,1,,32
"De 15 a 29 años (042)",2774,1115,2,8,1476,,,11,117,45
"Hombres (043)",784,529,1,6,95,,,9,117,27
"Mujeres (044)",1990,586,1,2,1381,,,2,,18
"De 30 a 44 años (045)",1447,18,5,11,1383,,,4,,26
"Hombres (046)",97,8,2,8,56,,,2,,21
"Mujeres (047)",1350,10,3,3,1327,,,2,,5
"De 45 a 64 años (048)",1085,6,48,19,984,,,4,,24
"Hombres (049)",93,,31,11,33,,,2,,16
"Mujeres (050)",992,6,17,8,951,,,2,,8
"De 65 y más años (051)",769,1,127,29,503,67,,7,,35
"Hombres (052)",243,,93,18,79,26,,5,,22
"Mujeres (053)",526,1,34,11,424,41,,2,,13
