"CUADRO Nº 39: POBLACIÓN ECONÓMICAMENTE INACTIVA DE 6 Y MÁS AÑOS , POR ACTIVIDAD NO LABORAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,,,,,,
,,,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"ACTIVIDAD NO LABORAL",,,,,,,,
,,"ESTUDIANDO Y NO TRABAJO","VIVIENDO DE SU PENSIÓN Y JUBILACIÓN","VIVIENDO DE SUS RENTAS","AL CUIDADO DE SU HOGAR","POR SU EDAD","DE VIAJE",DISCAPACITADO,"SERVICIO MILITAR",OTRA
,,,,,,,,,,
"Provincia CHURCAMPA (000)",24514,14369,73,169,9142,294,11,31,2,423
"Hombres (001)",9224,7469,61,73,1239,129,9,17,2,225
"Mujeres (002)",15290,6900,12,96,7903,165,2,14,,198
"De 06 a 14 años (003)",11648,11282,,,158,52,1,3,,152
"Hombres (004)",5949,5792,,,51,23,,2,,81
"Mujeres (005)",5699,5490,,,107,29,1,1,,71
"De 15 a 29 años (006)",5843,3009,2,52,2697,,3,6,2,72
"Hombres (007)",2065,1644,2,24,348,,3,4,2,38
"Mujeres (008)",3778,1365,,28,2349,,,2,,34
"De 30 a 44 años (009)",2640,60,4,41,2482,,2,5,,46
"Hombres (010)",313,29,2,16,235,,2,2,,27
"Mujeres (011)",2327,31,2,25,2247,,,3,,19
"De 45 a 64 años (012)",2526,14,21,43,2360,7,4,8,,69
"Hombres (013)",392,3,16,19,306,3,3,6,,36
"Mujeres (014)",2134,11,5,24,2054,4,1,2,,33
"De 65 y más años (015)",1857,4,46,33,1445,235,1,9,,84
"Hombres (016)",505,1,41,14,299,103,1,3,,43
"Mujeres (017)",1352,3,5,19,1146,132,,6,,41
,,,,,,,,,,
"AREA URBANA (018)",5125,3012,58,58,1860,50,,7,2,78
"Hombres (019)",2024,1556,47,26,305,30,,3,2,55
"Mujeres (020)",3101,1456,11,32,1555,20,,4,,23
"De 06 a 14 años (021)",2172,2129,,,21,9,,,,13
"Hombres (022)",1112,1092,,,8,5,,,,7
"Mujeres (023)",1060,1037,,,13,4,,,,6
"De 15 a 29 años (024)",1375,846,,14,491,,,2,2,20
"Hombres (025)",553,449,,10,78,,,1,2,13
"Mujeres (026)",822,397,,4,413,,,1,,7
"De 30 a 44 años (027)",584,30,3,11,528,,,1,,11
"Hombres (028)",95,14,2,4,64,,,,,11
"Mujeres (029)",489,16,1,7,464,,,1,,
"De 45 a 64 años (030)",561,7,16,15,506,,,2,,15
"Hombres (031)",113,1,11,4,84,,,2,,11
"Mujeres (032)",448,6,5,11,422,,,,,4
"De 65 y más años (033)",433,,39,18,314,41,,2,,19
"Hombres (034)",151,,34,8,71,25,,,,13
"Mujeres (035)",282,,5,10,243,16,,2,,6
,,,,,,,,,,
"AREA RURAL (036)",19389,11357,15,111,7282,244,11,24,,345
"Hombres (037)",7200,5913,14,47,934,99,9,14,,170
"Mujeres (038)",12189,5444,1,64,6348,145,2,10,,175
"De 06 a 14 años (039)",9476,9153,,,137,43,1,3,,139
"Hombres (040)",4837,4700,,,43,18,,2,,74
"Mujeres (041)",4639,4453,,,94,25,1,1,,65
"De 15 a 29 años (042)",4468,2163,2,38,2206,,3,4,,52
"Hombres (043)",1512,1195,2,14,270,,3,3,,25
"Mujeres (044)",2956,968,,24,1936,,,1,,27
"De 30 a 44 años (045)",2056,30,1,30,1954,,2,4,,35
"Hombres (046)",218,15,,12,171,,2,2,,16
"Mujeres (047)",1838,15,1,18,1783,,,2,,19
"De 45 a 64 años (048)",1965,7,5,28,1854,7,4,6,,54
"Hombres (049)",279,2,5,15,222,3,3,4,,25
"Mujeres (050)",1686,5,,13,1632,4,1,2,,29
"De 65 y más años (051)",1424,4,7,15,1131,194,1,7,,65
"Hombres (052)",354,1,7,6,228,78,1,3,,30
"Mujeres (053)",1070,3,,9,903,116,,4,,35
