"CUADRO Nº 2: TOTAL DE HOGARES EN VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES, POR VARIEDAD DE ARTEFACTOS Y EQUIPOS QUE POSEE, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",,,,,,,,
,,,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, TIPO DE VIVIENDA Y TOTAL DE OCUPANTES PRESENTES",TOTAL,"ARTEFACTOS Y EQUIPOS QUE POSEE EL HOGAR",,,,,,
,,RADIO,"TELEVISOR A COLOR","EQUIPO DE SONIDO","LAVADORA DE ROPA","REFRIGERADORA O CONGELADORA",COMPUTADORA,NINGUNO
,,,,,,,,
"Provincia BELLAVISTA",,,,,,,,
"Hogares (001)",11686,8427,3911,1425,172,1594,221,2083
"Ocupantes presentes (002)",48716,35886,16304,6061,689,6557,897,7952
"Casa independiente",,,,,,,,
"Hogares (004)",9813,7088,3751,1356,170,1542,211,1613
"Ocupantes presentes (005)",41027,30315,15698,5788,684,6360,872,6102
"Departamento en edificio",,,,,,,,
"Hogares (007)",9,5,7,3,2,4,3,1
"Ocupantes presentes (008)",33,20,30,19,5,11,10,2
"Vivienda en quinta",,,,,,,,
"Hogares (010)",147,87,64,19,,22,3,37
"Ocupantes presentes (011)",442,261,207,66,,83,7,104
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (013)",33,21,18,4,,5,2,8
"Ocupantes presentes (014)",94,61,61,10,,17,2,12
"Choza o cabaña",,,,,,,,
"Hogares (016)",1637,1203,63,40,,19,1,405
"Ocupantes presentes (017)",6941,5144,274,165,,77,5,1660
"Vivienda improvisada",,,,,,,,
"Hogares (019)",26,14,5,1,,,,8
"Ocupantes presentes (020)",109,54,21,4,,,,37
"Local no dest.para hab. humana",,,,,,,,
"Hogares (022)",16,9,3,2,,2,1,6
"Ocupantes presentes (023)",57,31,13,9,,9,1,22
"Otro tipo",,,,,,,,
"Hogares (025)",5,,,,,,,5
"Ocupantes presentes (026)",13,,,,,,,13
,,,,,,,,
URBANA,,,,,,,,
"Hogares (028)",6501,4463,3359,1192,169,1421,213,1061
"Ocupantes presentes (029)",26604,18751,13852,5025,678,5829,866,3869
"Casa independiente",,,,,,,,
"Hogares (031)",6274,4333,3263,1164,167,1389,204,999
"Ocupantes presentes (032)",25883,18345,13524,4921,673,5713,846,3685
"Departamento en edificio",,,,,,,,
"Hogares (034)",9,5,7,3,2,4,3,1
"Ocupantes presentes (035)",33,20,30,19,5,11,10,2
"Vivienda en quinta",,,,,,,,
"Hogares (037)",147,87,64,19,,22,3,37
"Ocupantes presentes (038)",442,261,207,66,,83,7,104
"Vivienda en casa de vecindad",,,,,,,,
"Hogares (040)",33,21,18,4,,5,2,8
"Ocupantes presentes (041)",94,61,61,10,,17,2,12
"Choza o cabaña",,,,,,,,
"Vivienda improvisada",,,,,,,,
"Hogares (046)",26,14,5,1,,,,8
"Ocupantes presentes (047)",109,54,21,4,,,,37
"Local no dest.para hab. humana",,,,,,,,
"Hogares (049)",8,3,2,1,,1,1,4
"Ocupantes presentes (050)",31,10,9,5,,5,1,17
"Otro tipo",,,,,,,,
"Hogares (052)",4,,,,,,,4
"Ocupantes presentes (053)",12,,,,,,,12
,,,,,,,,
RURAL,,,,,,,,
"Hogares (055)",5185,3964,552,233,3,173,8,1022
"Ocupantes presentes (056)",22112,17135,2452,1036,11,728,31,4083
"Casa independiente",,,,,,,,
"Hogares (058)",3539,2755,488,192,3,153,7,614
"Ocupantes presentes (059)",15144,11970,2174,867,11,647,26,2417
"Departamento en edificio",,,,,,,,
"Vivienda en quinta",,,,,,,,
"Vivienda en casa de vecindad",,,,,,,,
"Choza o cabaña",,,,,,,,
"Hogares (070)",1637,1203,63,40,,19,1,405
"Ocupantes presentes (071)",6941,5144,274,165,,77,5,1660
"Vivienda improvisada",,,,,,,,
"Local no dest.para hab. humana",,,,,,,,
"Hogares (076)",8,6,1,1,,1,,2
"Ocupantes presentes (077)",26,21,4,4,,4,,5
"Otro tipo",,,,,,,,
"Hogares (079)",1,,,,,,,1
"Ocupantes presentes (080)",1,,,,,,,1
