"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR AFILIACIÓN A ALGÚN TIPO DE SEGURO DE SALUD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON EL QUE APRENDIÓ A HABLAR",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y LENGUA O IDIOMA CON LA QUE APRENDIO A HABLAR",TOTAL,"AFILIADO A ALGÚN SEGURO DE SALUD",,,
,,"SIS (SEGURO INTEGRAL DE SALUD)",ESSALUD,"OTRO SEGURO DE SALUD",NINGUNO
,,,,,
"Provincia ANTA (000)",51955,22019,2545,983,26476
"Quechua (001)",36512,15447,1346,560,19197
"Aymara (002)",42,23,,2,17
"Asháninka (003)",3,2,1,,
"Otra lengua nativa (004)",10,3,,1,7
"Castellano (005)",15248,6504,1197,412,7164
"Idioma Extranjero (006)",8,,,5,3
"Es Sordomudo/a (007)",132,40,1,3,88
"Hombres (009)",26158,10823,1324,613,13440
"Quechua (010)",18122,7450,728,357,9612
"Aymara (011)",17,6,,2,9
"Asháninka (012)",2,2,,,
"Otra lengua nativa (013)",5,2,,1,3
"Castellano (014)",7922,3335,596,249,3758
"Idioma Extranjero (015)",3,,,2,1
"Es Sordomudo/a (016)",87,28,,2,57
"Mujeres (018)",25797,11196,1221,370,13036
"Quechua (019)",18390,7997,618,203,9585
"Aymara (020)",25,17,,,8
"Asháninka (021)",1,,1,,
"Otra lengua nativa (022)",5,1,,,4
"Castellano (023)",7326,3169,601,163,3406
"Idioma Extranjero (024)",5,,,3,2
"Es Sordomudo/a (025)",45,12,1,1,31
,,,,,
"URBANA (027)",18382,5143,1718,626,10927
"Quechua (028)",9004,1663,735,311,6310
"Aymara (029)",18,6,,2,10
"Asháninka (030)",2,1,1,,
"Otra lengua nativa (031)",5,,,,5
"Castellano (032)",9296,3459,981,310,4563
"Idioma Extranjero (033)",2,,,,2
"Es Sordomudo/a (034)",55,14,1,3,37
"Hombres (036)",9102,2516,875,398,5331
"Quechua (037)",4369,761,397,206,3014
"Aymara (038)",11,1,,2,8
"Asháninka (039)",1,1,,,
"Otra lengua nativa (040)",2,,,,2
"Castellano (041)",4683,1743,478,188,2283
"Idioma Extranjero (042)",1,,,,1
"Es Sordomudo/a (043)",35,10,,2,23
"Mujeres (045)",9280,2627,843,228,5596
"Quechua (046)",4635,902,338,105,3296
"Aymara (047)",7,5,,,2
"Asháninka (048)",1,,1,,
"Otra lengua nativa (049)",3,,,,3
"Castellano (050)",4613,1716,503,122,2280
"Idioma Extranjero (051)",1,,,,1
"Es Sordomudo/a (052)",20,4,1,1,14
,,,,,
"RURAL (054)",33573,16876,827,357,15549
"Quechua (055)",27508,13784,611,249,12887
"Aymara (056)",24,17,,,7
"Asháninka (057)",1,1,,,
"Otra lengua nativa (058)",5,3,,1,2
"Castellano (059)",5952,3045,216,102,2601
"Idioma Extranjero (060)",6,,,5,1
"Es Sordomudo/a (061)",77,26,,,51
"Hombres (063)",17056,8307,449,215,8109
"Quechua (064)",13753,6689,331,151,6598
"Aymara (065)",6,5,,,1
"Asháninka (066)",1,1,,,
"Otra lengua nativa (067)",3,2,,1,1
"Castellano (068)",3239,1592,118,61,1475
"Idioma Extranjero (069)",2,,,2,
"Es Sordomudo/a (070)",52,18,,,34
"Mujeres (072)",16517,8569,378,142,7440
"Quechua (073)",13755,7095,280,98,6289
"Aymara (074)",18,12,,,6
"Otra lengua nativa (076)",2,1,,,1
"Castellano (077)",2713,1453,98,41,1126
"Idioma Extranjero (078)",4,,,3,1
"Es Sordomudo/a (079)",25,8,,,17
